date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,6.9,7.05,6.9,7.05,23.0,,,,,,,,,,,,,,,,5.75,5.75,5.53,5.53,2.0,,,,,,4.67,5.08,4.67,5.08,18.0,,,,,,3.92,4.6,3.9,4.46,196.0,,,,,,3.45,4.2,3.45,4.18,103.0,,,,,,3.1,3.68,3.07,3.48,1606.0,,,,,,2.7,3.31,2.7,3.15,62.0,,,,,,2.99,3.0,2.67,3.0,69.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,10.05,10.05,10.05,10.05,1.0,,,,,,,,,,,8.25,8.25,8.25,8.25,1.0,,,,,,8.56,8.56,6.9,6.9,22.0,,,,,,8.27,8.27,5.38,5.38,64.0,,,,,,6.82,6.82,4.95,4.95,235.0,,,,,,6.87,6.95,6.33,6.33,43.0,,,,,,5.76,6.2,3.97,3.97,1450.0,,,,,,5.7,5.7,3.51,3.51,93.0,,,,,,5.1,5.28,3.13,3.15,1023.0,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,10.55,10.55,10.55,10.55,5.0,,,,,,,,,,,,,,,,,,,,,8.05,8.05,7.63,7.63,30.0,,,,,,7.45,7.8,6.7,7.8,97.0,,,,,,6.4,6.86,6.4,6.86,5.0,,,,,,5.65,6.25,5.65,6.25,89.0,,,,,,5.3,5.3,5.15,5.2,15.0,,,,,,4.7,5.52,4.45,5.52,51.0,,,,,,4.35,5.1,4.25,5.1,638.0,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,10.92,10.92,10.92,10.92,8.0,,,,,,,,,,,,,,,,,,,,,8.25,8.25,8.25,8.25,11.0,,,,,,8.7,9.53,8.7,9.25,30.0,,,,,,6.71,8.9,6.71,8.85,32.0,,,,,,6.1,8.0,6.1,8.0,6.0,,,,,,5.4,7.33,5.4,6.89,21.0,,,,,,5.0,6.88,5.0,6.32,75.0,,,,,,4.67,6.2,4.67,5.65,505.0,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,9.03,11.55,9.03,11.55,3.0,,,,,,,,,,,6.94,7.68,6.94,7.55,36.0,,,,,,6.23,8.85,6.23,8.85,76.0,,,,,,5.7,8.0,5.7,7.35,154.0,,,,,,5.32,6.55,5.32,6.55,21.0,,,,,,4.71,6.6,4.68,5.7,63.0,,,,,,3.9,6.0,3.82,6.0,195.0,,,,,,3.65,4.99,3.65,4.99,4.0,,,,,,3.28,4.62,3.1,4.15,119.0,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,,,,,,10.57,10.57,10.49,10.49,3.0,,,,,,9.72,9.72,8.96,8.96,10.0,,,,,,8.45,8.45,8.05,8.05,12.0,,,,,,7.69,8.2,7.5,7.8,85.0,,,,,,7.35,7.36,6.65,6.65,57.0,,,,,,6.2,6.46,5.75,5.75,73.0,,,,,,5.85,5.85,5.2,5.2,45.0,,,,,,5.5,5.67,4.8,4.8,35.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,8.78,9.28,8.78,9.28,14.0,,,,,,7.93,8.47,7.93,8.47,14.0,,,,,,7.45,7.6,7.45,7.6,13.0,,,,,,6.58,7.1,6.58,7.1,45.0,,,,,,5.95,6.2,5.95,6.2,54.0,,,,,,5.2,5.66,5.2,5.66,9.0,,,,,,4.65,5.15,4.6,5.15,4.0,,,,,,4.25,4.65,4.25,4.6,50.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,9.9,9.9,9.9,9.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,8.08,6.35,8.08,3.0,,,,,,5.95,7.15,5.95,7.15,124.0,,,,,,,,,,,,,,,,4.4,5.98,4.4,5.98,22.0,,,,,,4.02,5.38,4.02,5.38,15.0,,,,,,3.49,3.82,3.45,3.7,36.0,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,8.26,8.27,8.2,8.2,1001.0,,,,,,,,,,,6.5,6.5,6.5,6.5,21.0,,,,,,5.8,5.8,5.78,5.78,16.0,,,,,,5.2,5.2,5.15,5.18,54.0,,,,,,4.55,5.06,4.52,5.06,57.0,,,,,,4.15,4.15,4.03,4.15,137.0,,,,,,3.6,3.8,3.55,3.8,71.0,,,,,,3.25,3.27,3.1,3.19,96.0,,,,,,2.79,3.25,2.78,3.25,92.0,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,7.01,7.01,7.01,7.01,15.0,,,,,,6.11,6.45,5.55,6.25,292.0,,,,,,5.0,5.8,5.0,5.72,12.0,,,,,,4.42,4.45,4.42,4.45,80.0,,,,,,3.99,4.55,3.99,4.55,19.0,,,,,,3.8,4.03,3.49,4.0,119.0,,,,,,3.4,3.6,3.05,3.6,911.0,,,,,,3.05,3.6,2.73,3.6,53.0,,,,,
