date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,0.03,0.03,0.03,0.03,2.0,,,,,,0.09,0.09,0.09,0.09,80.0,0.13,0.13,0.13,0.13,1.0,0.19,0.19,0.18,0.19,36.0,0.27,0.27,0.27,0.27,2.0,0.38,0.39,0.38,0.38,110.0,0.49,0.49,0.49,0.49,1.0,0.7,0.7,0.7,0.7,1.0,0.81,0.81,0.81,0.81,2.0,1.06,1.11,1.06,1.1,76.0,1.49,1.49,1.31,1.31,9.0,1.74,1.74,1.52,1.58,46.0,1.77,1.9,1.73,1.9,3.0,2.21,2.21,2.03,2.09,25.0,,,,,,3.05,3.05,2.51,2.74,54.0,,,,,,3.46,3.47,3.45,3.45,9.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,0.06,0.06,0.06,0.06,56.0,,,,,,0.11,0.11,0.11,0.11,1.0,,,,,,0.25,0.25,0.21,0.24,120.0,0.27,0.27,0.27,0.27,2.0,0.41,0.41,0.41,0.41,1.0,,,,,,0.64,0.82,0.6,0.74,154.0,,,,,,0.88,1.04,0.72,1.04,32.0,0.87,1.4,0.87,1.4,17.0,1.25,1.42,1.25,1.41,12.0,1.2,1.71,1.2,1.71,11.0,1.7,1.95,1.44,1.95,31.0,1.61,2.68,1.61,2.68,30.0,1.93,2.3,1.93,2.3,5.0,2.04,2.04,2.04,2.04,6.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.22,0.22,10.0,0.3,0.3,0.3,0.3,2.0,0.37,0.37,0.36,0.36,4.0,,,,,,0.64,0.64,0.55,0.55,13.0,,,,,,0.97,1.0,0.75,0.75,22.0,1.05,1.05,0.9,0.9,20.0,1.17,1.4,1.11,1.2,25.0,1.41,1.41,1.41,1.41,3.0,1.81,1.81,1.63,1.63,9.0,,,,,,2.1,2.29,2.01,2.01,32.0,2.54,2.54,2.41,2.41,8.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,0.03,0.03,0.03,0.03,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,3.0,,,,,,0.49,0.54,0.31,0.38,14.0,,,,,,0.79,0.79,0.5,0.52,44.0,0.94,0.95,0.62,0.62,37.0,1.06,1.06,0.75,0.85,184.0,1.24,1.24,0.94,0.94,18.0,1.53,1.53,1.05,1.14,63.0,,,,,,1.95,2.0,1.53,1.55,57.0,1.99,1.99,1.78,1.78,8.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,58.0,0.09,0.09,0.09,0.09,2.0,,,,,,0.24,0.24,0.24,0.24,1.0,,,,,,0.45,0.45,0.45,0.45,3.0,,,,,,0.66,0.67,0.47,0.47,35.0,0.82,0.82,0.55,0.55,102.0,1.17,1.17,0.78,0.78,19.0,1.3,1.3,1.22,1.22,44.0,1.7,1.7,0.94,0.95,62.0,1.69,1.69,1.69,1.69,12.0,2.0,2.0,1.44,1.44,54.0,2.3,2.37,2.3,2.34,3.0,2.53,2.53,1.9,1.9,2.0,3.05,3.05,2.84,2.84,11.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,0.03,0.03,0.03,0.03,51.0,,,,,,,,,,,0.06,0.06,0.06,0.06,15.0,0.09,0.09,0.09,0.09,49.0,0.09,0.09,0.09,0.09,10.0,,,,,,,,,,,,,,,,0.29,0.41,0.29,0.38,41.0,0.4,0.46,0.4,0.46,101.0,0.59,0.59,0.54,0.54,27.0,0.58,0.67,0.58,0.66,9.0,0.7,0.87,0.7,0.84,53.0,0.9,0.9,0.9,0.9,500.0,1.23,1.23,0.99,1.19,36.0,,,,,,1.45,1.58,1.45,1.58,6.0,1.7,1.9,1.66,1.9,27.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,77.0,0.12,0.12,0.12,0.12,7.0,0.18,0.18,0.18,0.18,9.0,,,,,,,,,,,0.38,0.38,0.38,0.38,3.0,0.46,0.51,0.44,0.47,23.0,0.58,0.6,0.58,0.59,56.0,0.78,0.81,0.78,0.81,11.0,0.87,0.92,0.87,0.92,23.0,1.13,1.13,0.95,0.95,504.0,1.34,1.34,1.24,1.24,17.0,1.54,1.54,1.54,1.54,1.0,1.79,1.79,1.79,1.79,1.0,2.09,2.09,2.0,2.0,8.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,1.0,,,,,,0.05,0.05,0.05,0.05,2.0,,,,,,0.13,0.13,0.13,0.13,1.0,0.28,0.28,0.26,0.26,2.0,0.34,0.34,0.22,0.22,8.0,0.47,0.47,0.43,0.43,19.0,0.61,0.61,0.5,0.5,16.0,0.46,0.46,0.45,0.45,6.0,0.92,0.92,0.56,0.56,26.0,1.12,1.12,0.7,0.7,38.0,1.34,1.34,1.34,1.34,1.0,1.6,1.6,1.07,1.07,54.0,1.8,1.84,1.66,1.66,11.0,2.1,2.1,1.9,1.9,22.0,2.4,2.41,1.7,1.7,122.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,0.02,0.02,0.02,0.02,1.0,,,,,,,,,,,0.07,0.08,0.07,0.08,11.0,0.11,0.11,0.1,0.1,20.0,,,,,,,,,,,0.29,0.3,0.26,0.26,4.0,0.3,0.3,0.28,0.28,2.0,0.5,0.5,0.49,0.49,11.0,0.65,0.71,0.65,0.7,18.0,0.81,0.9,0.72,0.72,17.0,1.07,1.07,1.0,1.0,108.0,1.3,1.3,1.25,1.28,16.0,1.53,1.56,1.38,1.38,93.0,,,,,,2.09,2.16,1.99,1.99,50.0,2.41,2.41,2.4,2.4,6.0,2.7,2.71,2.59,2.59,29.0,3.05,3.06,2.71,2.71,21.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.02,0.02,0.02,0.02,1.0,,,,,,0.05,0.05,0.05,0.05,12.0,,,,,,0.11,0.11,0.11,0.11,5.0,0.12,0.13,0.12,0.13,9.0,,,,,,0.26,0.3,0.26,0.26,5.0,,,,,,,,,,,0.61,0.63,0.55,0.55,39.0,0.9,0.9,0.72,0.72,10.0,0.97,1.12,0.9,0.9,67.0,,,,,,1.43,1.61,1.25,1.25,115.0,1.91,1.93,1.4,1.4,19.0,1.95,2.25,1.95,2.25,80.0,2.51,2.52,2.44,2.44,4.0,2.83,2.84,2.22,2.22,18.0,2.95,3.2,2.55,2.55,17.0
