date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,5.0,,,,,,3.15,3.55,3.15,3.48,52.0,3.38,3.38,3.03,3.2,10.0,2.5,3.24,2.5,3.24,140.0,2.18,2.66,2.18,2.66,8.0,2.01,3.11,1.98,3.11,20.0,1.8,2.37,1.8,2.31,139.0,1.65,2.88,1.61,2.88,145.0,1.47,2.17,1.47,2.17,52.0,1.41,2.01,1.41,2.01,87.0,1.67,1.76,1.64,1.76,29.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,8.34,8.34,8.34,8.34,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,6.95,4.06,4.07,11.0,5.2,5.2,3.74,3.74,30.0,5.4,5.65,3.83,3.83,33.0,5.31,5.31,3.85,3.85,6.0,5.54,5.8,2.86,2.86,90.0,5.35,5.35,2.66,2.66,39.0,4.68,4.68,2.63,2.63,44.0,3.35,3.35,2.24,2.24,25.0,3.11,3.11,2.3,2.3,209.0,3.85,3.85,1.93,1.93,4030.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,10.53,10.54,10.53,10.54,5.0,,,,,,,,,,,,,,,,7.1,7.1,6.41,6.6,10.0,,,,,,,,,,,5.85,5.85,5.76,5.76,6.0,5.45,5.45,4.86,4.86,6.0,5.2,5.59,4.82,5.59,67.0,4.81,4.81,4.81,4.81,2.0,4.5,4.9,3.9,4.9,66.0,3.61,3.76,3.61,3.76,2.0,3.85,4.56,3.5,4.56,24.0,3.8,4.18,3.75,4.18,80.0,3.25,3.73,3.24,3.73,32.0,3.25,3.54,3.2,3.54,56.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,8.99,7.2,8.99,8.0,,,,,,6.45,7.3,6.45,7.3,7.0,7.65,7.89,7.15,7.15,3.0,,,,,,6.49,6.49,6.49,6.49,5.0,6.47,6.47,6.25,6.4,9.0,5.1,5.77,5.1,5.77,10.0,4.0,5.5,4.0,5.5,31.0,4.7,4.75,4.7,4.75,12.0,4.5,5.17,4.5,5.0,125.0,3.02,3.02,3.02,3.02,1.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,6.06,6.06,6.06,6.06,1.0,,,,,,5.06,5.17,5.0,5.0,128.0,,,,,,4.55,5.85,4.55,5.85,6.0,,,,,,3.44,5.1,3.42,5.1,27.0,2.96,3.55,2.96,3.55,106.0,3.8,3.8,3.8,3.8,1.0,,,,,,2.43,2.43,2.43,2.43,1.0,2.26,2.54,2.05,2.54,86.0,2.08,3.85,2.08,3.58,168.0,2.13,3.49,2.02,3.49,25.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,,,,,,9.28,9.28,9.28,9.28,1.0,,,,,,,,,,,,,,,,6.85,6.85,6.85,6.85,3.0,,,,,,6.16,6.16,6.05,6.05,11.0,5.58,6.0,5.58,6.0,30.0,,,,,,5.55,5.55,5.15,5.15,57.0,5.17,5.17,4.4,4.4,14.0,4.55,4.6,4.0,4.35,75.0,3.69,4.3,3.69,3.95,130.0,4.17,4.17,3.45,4.15,13.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,9.35,9.35,9.35,9.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,22.0,,,,,,,,,,,4.75,4.8,4.75,4.8,14.0,,,,,,,,,,,3.86,3.86,3.86,3.86,1.0,3.35,3.35,3.17,3.2,16.0,3.47,3.47,3.3,3.3,5.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,9.25,9.25,9.25,9.25,10.0,,,,,,,,,,,5.81,7.4,5.8,7.4,16.0,,,,,,,,,,,,,,,,4.39,4.39,4.39,4.39,100.0,,,,,,,,,,,,,,,,4.05,4.05,4.05,4.05,5.0,,,,,,2.37,2.74,2.36,2.74,11.0,2.03,2.54,2.03,2.54,39.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,6.1,6.1,6.1,6.1,10.0,5.19,5.19,5.19,5.19,1.0,,,,,,4.36,4.4,4.32,4.32,80.0,3.83,3.83,3.83,3.83,1.0,3.57,3.96,3.49,3.96,177.0,,,,,,2.88,2.88,2.88,2.88,100.0,,,,,,2.42,2.59,2.42,2.58,75.0,2.25,2.25,2.13,2.13,3.0,2.05,2.05,1.85,1.96,227.0,1.79,1.94,1.65,1.94,11.0,1.6,1.85,1.5,1.85,315.0,1.42,1.8,1.4,1.8,39.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2,4.2,31.0,3.4,3.4,3.4,3.4,3.0,,,,,,,,,,,2.38,2.92,2.3,2.92,139.0,2.39,2.42,2.39,2.42,101.0,2.13,2.54,1.8,2.54,599.0,1.92,2.14,1.65,2.14,34.0,1.73,1.8,1.5,1.8,188.0,1.57,1.83,1.31,1.83,39.0
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,,,,,,,,,,,6.7,6.7,6.7,6.7,10.0,,,,,,,,,,,,,,,,,,,,,4.04,4.2,3.8,4.1,11.0,4.1,4.45,4.1,4.45,22.0,3.24,3.24,3.1,3.1,68.0,,,,,,2.45,3.45,2.45,3.45,18.0,2.48,2.53,2.41,2.41,42.0,2.18,2.67,2.01,2.54,252.0,1.93,2.32,1.93,2.32,9.0,1.8,2.21,1.6,2.09,179.0,1.59,2.07,1.41,2.02,60.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,,,,,,,,,,,,,,,,,,,,,4.35,4.35,4.35,4.35,3.0,3.6,3.6,3.6,3.6,12.0,3.25,3.55,3.25,3.55,34.0,2.75,3.21,2.75,3.2,54.0,2.4,2.9,2.4,2.9,55.0,2.34,2.53,2.34,2.53,572.0,,,,,,1.68,2.08,1.68,2.08,21.0,1.45,1.77,1.45,1.77,525.0,1.36,1.63,1.3,1.6,205.0,1.19,1.46,1.19,1.46,150.0,1.07,1.24,1.02,1.24,34.0,0.91,1.1,0.91,1.1,727.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.3,2.8,3.3,45.0,2.44,2.75,2.44,2.75,9.0,2.1,2.59,2.1,2.59,168.0,2.28,2.28,2.12,2.12,51.0,1.59,1.94,1.59,1.94,21.0,1.47,1.76,1.42,1.69,285.0,1.29,1.58,1.19,1.45,213.0,1.05,1.39,1.05,1.27,159.0,1.02,1.22,1.0,1.17,61.0,0.81,1.09,0.78,1.03,690.0,0.74,0.94,0.74,0.89,137.0
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,,,,,,,,,,,,,,,,6.5,6.5,5.9,6.08,19.0,,,,,,4.49,4.49,4.49,4.49,1.0,4.23,4.5,4.2,4.2,8.0,4.45,4.45,3.7,3.7,196.0,3.15,3.15,3.14,3.14,98.0,3.4,3.5,3.27,3.27,12.0,2.98,2.98,2.61,2.61,3576.0,2.7,2.95,2.25,2.37,281.0,2.53,2.69,1.91,1.95,100.0,2.21,2.31,1.73,1.75,4085.0,1.95,2.1,1.52,1.55,415.0,1.74,1.91,1.34,1.35,469.0,1.56,1.73,1.1,1.1,280.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.38,4.38,4.38,89.0,3.9,3.9,3.9,3.9,20.0,3.46,3.83,3.35,3.35,414.0,3.2,3.2,2.83,2.86,37.0,2.71,2.88,2.44,2.51,244.0,2.39,2.63,2.25,2.25,67.0,2.02,2.36,1.88,1.98,220.0,1.77,2.0,1.64,1.7,637.0,1.56,1.8,1.41,1.54,585.0,1.35,1.59,1.25,1.41,145.0,1.2,1.39,1.08,1.19,320.0,1.08,1.25,0.95,1.25,72.0
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.15,4.03,4.15,120.0,4.7,4.75,3.75,3.75,56.0,4.17,4.17,2.95,2.95,78.0,2.67,2.76,2.67,2.76,11.0,2.94,2.94,2.25,2.4,139.0,2.64,2.64,1.92,1.93,80.0,2.53,2.53,1.62,1.62,108.0,2.14,2.29,1.39,1.41,208.0,1.93,1.96,1.18,1.29,213.0,1.73,1.73,1.0,1.15,264.0,1.55,1.55,0.85,1.01,1221.0,1.3,1.35,0.76,0.79,296.0
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,,,,,,,,,,,,,,,,6.94,6.95,6.94,6.95,20.0,,,,,,5.65,6.15,5.5,5.9,83.0,5.35,5.4,4.9,4.9,33.0,5.1,5.2,4.55,4.95,82.0,4.35,4.65,4.35,4.55,70.0,4.02,4.02,3.7,3.8,157.0,3.32,3.7,3.03,3.7,92.0,3.0,3.5,2.67,3.24,301.0,2.57,3.02,2.44,2.97,579.0,2.2,2.75,2.0,2.5,381.0,1.94,2.36,1.78,2.17,279.0,1.79,2.1,1.47,2.03,635.0,1.45,1.82,1.3,1.73,197.0
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,5.45,5.45,5.45,7.0,4.5,4.5,4.5,4.5,1.0,4.5,4.53,3.92,4.21,415.0,3.85,3.85,3.85,3.85,4.0,3.39,3.47,3.05,3.2,23.0,3.0,3.0,3.0,3.0,27.0,2.62,3.0,2.22,2.22,125.0,2.13,2.59,1.83,2.2,401.0,1.79,2.23,1.6,1.74,389.0,1.64,1.89,1.34,1.59,258.0,1.38,1.66,1.1,1.2,572.0,1.11,1.4,0.94,1.06,563.0
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,5.67,5.17,5.6,72.0,4.91,5.0,4.65,4.65,17.0,4.5,4.52,4.02,4.52,173.0,3.88,4.2,3.64,3.64,55.0,3.4,3.75,3.34,3.7,371.0,3.08,3.5,2.72,3.28,304.0,2.67,3.1,2.3,2.86,543.0,2.25,2.71,1.96,2.44,782.0,2.0,2.35,1.75,2.35,1417.0,1.62,2.03,1.42,2.0,964.0
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,,,,,,,,,,,,,,,,8.0,8.0,6.9,6.9,4.0,7.05,7.05,6.4,6.4,7.0,7.15,7.3,5.9,6.65,141.0,6.8,6.83,5.4,5.4,7.0,5.6,6.3,4.9,5.5,47.0,5.8,5.8,5.2,5.2,106.0,4.95,4.95,3.89,4.15,72.0,4.75,4.84,3.76,3.76,39.0,3.54,4.2,2.91,3.05,250.0,3.68,3.7,2.47,3.1,248.0,2.64,3.35,2.07,2.27,477.0,2.43,2.98,1.69,2.0,1710.0,2.01,2.6,1.4,1.67,1712.0,1.67,2.17,1.15,1.53,1671.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,10.0,10.0,10.0,10.0,2.0,,,,,,7.95,7.95,7.95,7.95,2.0,,,,,,,,,,,5.35,6.2,5.33,6.0,26.0,4.8,4.8,4.8,4.8,12.0,4.33,5.0,4.26,5.0,154.0,3.56,4.5,3.53,4.5,51.0,3.25,4.2,3.25,4.2,35.0,2.62,2.99,2.58,2.93,235.0,2.1,2.88,2.1,2.88,136.0,1.66,2.74,1.63,2.55,244.0,1.31,2.14,1.28,2.02,1026.0,0.9,1.87,0.9,1.7,3435.0,0.68,1.55,0.68,1.35,1211.0,0.54,1.22,0.53,1.06,5275.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,8.73,8.74,8.73,8.74,2.0,,,,,,6.55,6.55,6.55,6.55,2.0,,,,,,4.95,5.55,4.95,5.55,112.0,4.45,5.15,4.45,5.15,198.0,4.1,4.7,4.1,4.55,66.0,3.35,4.15,3.35,4.05,74.0,3.1,3.7,3.1,3.45,38.0,2.42,3.25,2.36,2.82,2695.0,2.01,2.67,1.99,2.24,517.0,1.5,2.25,1.45,1.86,541.0,1.08,1.81,0.99,1.44,3553.0,0.71,1.36,0.7,0.91,1403.0,0.44,1.08,0.44,0.78,10694.0,0.31,0.78,0.3,0.52,3498.0,0.24,0.59,0.22,0.4,4589.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,5.0,4.1,4.1,4.1,4.1,11.0,4.0,4.0,3.93,3.93,27.0,2.82,3.48,2.82,3.3,69.0,2.62,2.97,2.5,2.97,204.0,1.89,2.57,1.89,2.46,201.0,1.51,1.98,1.51,1.97,270.0,0.87,1.51,0.87,1.3,315.0,0.56,1.11,0.51,0.86,3427.0,0.34,0.72,0.29,0.59,2559.0,0.19,0.5,0.18,0.41,9015.0,0.13,0.33,0.11,0.25,5545.0,0.09,0.33,0.07,0.33,2503.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,,,,,,,,,,,,,,,,4.9,4.9,4.65,4.65,7.0,4.25,4.25,4.25,4.25,16.0,3.96,3.96,3.96,3.96,1.0,3.55,3.55,3.55,3.55,21.0,2.86,3.15,2.83,2.89,97.0,2.32,2.42,2.32,2.42,4.0,2.12,2.15,1.64,1.87,3446.0,1.51,1.56,1.16,1.4,3593.0,1.07,1.07,0.7,0.91,396.0,0.57,0.68,0.31,0.48,3967.0,0.19,0.3,0.04,0.3,11874.0,0.01,0.16,0.01,0.14,7309.0,0.01,0.11,0.01,0.11,7213.0,0.01,0.11,0.01,0.11,702.0
2019-06-10,2019-06-10,27.86,28.24,27.61,27.71,14480560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-11,2019-06-11,27.91,28.3,27.3,27.4,18841531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-12,2019-06-12,27.78,28.3,27.66,28.11,14225241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-13,2019-06-13,27.61,27.905,27.33,27.45,17051858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-14,2019-06-14,27.32,28.06,27.28,27.8,13682989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-17,2019-06-17,27.03,27.36,26.8815,27.29,14470210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-18,2019-06-18,26.82,26.98,26.35,26.54,24889651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-19,2019-06-19,25.93,26.93,25.88,26.65,29671248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-20,2019-06-20,26.01,26.82,25.26,25.46,34444193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-21,2019-06-21,26.62,26.81,25.885,26.2,19740690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-24,2019-06-24,26.38,26.52,26.14,26.45,12634966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,2019-06-25,27.05,27.181,26.37,26.4,17296855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-26,2019-06-26,26.84,27.05,26.39,26.52,13586640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-27,2019-06-27,26.42,26.795,26.2,26.65,14890831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,2019-06-28,26.0,26.3,25.87,26.13,17624656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,2019-07-01,24.56,25.08,24.46,24.55,30302465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,2019-07-02,23.65,24.6,23.61,24.6,26022509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
