date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,,,,,,5.7,5.8,5.7,5.8,11.0,5.3,5.3,5.3,5.3,1.0,,,,,,,,,,,,,,,,,,,,,3.63,3.63,3.63,3.63,1.0,3.25,3.73,3.25,3.69,16.0,2.55,3.28,2.55,3.16,30.0,3.31,3.36,3.31,3.36,10.0,2.17,2.17,2.17,2.17,1.0,,,,,,1.85,2.44,1.85,2.44,35.0,,,,,,2.03,2.03,1.85,1.85,4.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,6.23,5.59,5.74,36.0,,,,,,6.36,6.36,4.6,4.6,7.0,5.57,5.57,4.17,4.18,17.0,4.95,4.95,4.22,4.22,37.0,3.5,3.5,2.82,2.82,2.0,3.58,3.61,3.45,3.45,19.0,3.5,3.5,2.74,2.74,23.0,4.51,4.51,3.25,3.25,32.0,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,6.55,6.55,6.55,5.0,6.25,6.25,6.25,6.25,5.0,,,,,,5.5,5.5,5.5,5.5,5.0,5.05,5.05,5.05,5.05,5.0,4.85,5.22,4.85,5.22,6.0,4.5,5.52,4.45,5.52,10.0,3.94,5.05,3.94,5.05,4.0,4.1,4.1,4.1,4.1,20.0,3.55,3.55,3.55,3.55,1.0,3.45,3.55,3.25,3.55,45.0,3.39,3.9,3.25,3.9,52.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,10.55,12.55,10.55,12.55,84.0,9.8,11.0,9.8,11.0,9.0,,,,,,9.75,10.6,9.75,10.6,28.0,9.15,10.0,9.15,10.0,28.0,9.7,9.7,9.5,9.5,6.0,8.3,9.7,8.3,8.95,37.0,7.0,9.25,7.0,9.0,51.0,6.9,8.7,6.9,8.1,3.0,6.15,8.4,6.15,7.65,60.0,7.55,7.85,7.45,7.45,25.0,7.1,7.45,6.95,6.95,16.0,5.65,7.24,5.65,6.45,95.0,4.73,6.7,4.73,6.6,31.0,6.0,6.35,6.0,6.2,24.0,6.05,6.05,6.05,6.05,1.0,5.47,5.47,5.47,5.47,16.0,4.1,4.6,4.1,4.6,33.0,4.89,5.04,4.85,5.04,42.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,9.9,9.9,9.9,9.9,1.0,6.8,8.65,6.8,8.65,3.0,8.7,8.7,7.45,7.45,5.0,7.35,7.75,7.35,7.75,49.0,7.05,7.3,6.95,7.3,55.0,6.9,6.9,6.9,6.9,10.0,5.5,5.5,5.5,5.5,1.0,6.05,6.05,6.05,6.05,11.0,5.6,5.6,5.6,5.6,40.0,5.35,5.35,5.35,5.35,20.0,5.05,5.05,5.05,5.05,21.0,5.25,5.25,5.25,5.25,10.0,3.25,3.25,3.25,3.25,21.0,,,,,,,,,,,2.08,2.48,2.08,2.48,104.0,2.67,2.67,2.67,2.67,1.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,12.0,12.45,11.45,11.45,34.0,11.3,11.3,11.3,11.3,25.0,,,,,,9.95,10.45,9.95,10.45,26.0,10.05,10.05,10.05,10.05,25.0,9.6,9.6,9.6,9.6,26.0,,,,,,8.65,8.65,8.65,8.65,10.0,,,,,,7.5,7.5,7.5,7.5,2.0,6.66,6.66,6.4,6.4,40.0,,,,,,6.85,6.85,5.75,5.75,64.0,5.85,5.85,5.85,5.85,22.0,5.2,5.5,5.2,5.2,47.0,5.55,5.55,5.4,5.4,41.0,5.45,5.45,4.79,4.79,40.0,,,,,,4.3,4.3,4.14,4.17,103.0,3.75,3.88,3.75,3.88,3.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,6.35,6.35,6.35,2.0,,,,,,5.52,5.52,5.5,5.5,32.0,5.0,5.2,5.0,5.2,6.0,4.31,4.31,4.31,4.31,9.0,,,,,,,,,,,,,,,,3.35,3.35,3.16,3.18,116.0,2.95,2.95,2.95,2.95,7.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,6.07,6.07,6.07,1.0,5.65,5.65,5.65,5.65,1.0,,,,,,,,,,,,,,,,,,,,,3.51,3.51,3.51,3.51,10.0,4.2,4.75,4.2,4.75,14.0,3.0,4.3,3.0,4.3,72.0,,,,,,2.54,3.81,2.52,3.8,187.0,2.29,2.64,2.29,2.64,38.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,5.3,5.3,3.0,4.85,4.85,4.85,4.85,58.0,,,,,,,,,,,3.75,3.75,3.75,3.75,2.0,,,,,,,,,,,,,,,,2.61,2.75,2.61,2.75,89.0,,,,,,2.19,2.52,2.14,2.52,57.0,2.06,2.06,2.06,2.06,34.0,1.91,1.91,1.8,1.85,394.0,1.64,1.73,1.64,1.73,43.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,2.89,2.53,2.53,9.0,2.34,2.34,2.34,2.34,2.0,2.4,2.62,2.18,2.62,56.0,2.22,2.42,1.94,2.42,68.0,2.1,2.12,1.78,2.12,833.0,2.05,2.05,2.05,2.05,1.0
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.6,5.6,5.6,50.0,,,,,,5.06,5.11,4.9,4.9,8.0,4.65,4.69,4.65,4.68,3.0,4.22,4.22,4.22,4.22,25.0,3.8,3.8,3.8,3.8,10.0,3.7,3.7,3.7,3.7,1.0,,,,,,3.1,3.52,3.1,3.4,143.0,2.86,2.86,2.78,2.83,17.0,2.55,2.95,2.36,2.95,20.0,2.38,2.68,2.3,2.63,7.0,2.16,2.5,1.91,2.46,192.0,1.97,2.3,1.96,2.25,7.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.15,4.0,4.0,4.0,,,,,,3.26,3.26,3.26,3.26,4.0,,,,,,2.46,2.62,2.46,2.62,2.0,,,,,,1.98,2.35,1.98,2.3,35.0,1.8,2.02,1.8,2.02,21.0,1.65,1.91,1.62,1.89,20.0,1.64,1.71,1.64,1.71,6.0,1.32,1.64,1.32,1.64,140.0,1.23,1.41,1.22,1.41,26.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.1,3.1,4.0,2.88,2.88,2.88,2.88,2.0,2.24,2.44,2.1,2.44,42.0,1.99,2.21,1.99,2.21,58.0,2.08,2.08,1.94,2.04,30.0,1.63,1.9,1.63,1.79,513.0,1.38,1.7,1.38,1.7,4.0,1.23,1.41,1.22,1.41,10.0,1.16,1.37,1.16,1.36,19.0,1.16,1.21,1.14,1.14,19.0
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.8,5.16,5.16,2.0,5.25,5.25,4.58,4.75,11.0,,,,,,4.2,4.2,4.2,4.2,4.0,,,,,,3.93,3.93,3.22,3.58,10.0,3.26,3.26,3.26,3.26,50.0,2.96,3.1,2.63,2.63,56.0,2.85,2.89,2.36,2.36,708.0,2.31,2.74,2.14,2.18,33.0,2.28,2.49,1.88,1.88,443.0,2.03,2.2,1.64,1.78,537.0,2.0,2.0,1.55,1.74,35.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,4.98,4.98,4.98,1.0,4.8,4.8,4.1,4.37,8.0,,,,,,4.0,4.0,3.55,3.55,400.0,3.15,3.2,3.15,3.2,15.0,,,,,,2.48,2.48,2.48,2.48,10.0,2.26,2.6,2.26,2.54,79.0,,,,,,1.83,2.12,1.78,1.8,89.0,1.67,1.96,1.64,1.65,16.0,1.47,1.76,1.47,1.76,211.0,1.31,1.36,1.31,1.36,12.0
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.35,5.11,5.15,4.0,5.3,5.3,4.45,4.45,29.0,,,,,,3.8,3.8,3.6,3.6,33.0,3.78,3.78,3.2,3.2,150.0,,,,,,3.56,3.58,2.65,2.65,67.0,2.52,2.52,2.37,2.37,27.0,2.2,2.23,1.97,2.09,59.0,2.62,2.62,1.83,1.83,28.0,2.29,2.29,1.55,1.63,150.0,2.06,2.09,1.34,1.45,73.0,1.76,1.86,1.2,1.22,31.0,1.65,1.68,1.09,1.09,147.0
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,10.11,10.11,10.11,10.11,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.3,6.46,6.97,59.0,6.35,6.35,6.35,6.35,6.0,,,,,,,,,,,4.65,5.05,4.65,5.05,7.0,4.8,4.8,4.8,4.8,7.0,4.05,4.31,4.05,4.31,70.0,4.0,4.0,3.55,3.95,153.0,3.33,3.68,3.2,3.49,136.0,2.97,3.38,2.72,3.3,108.0,2.67,3.03,2.47,3.03,2079.0,2.41,2.73,2.21,2.6,105.0,2.35,2.44,1.9,2.28,80.0,1.86,2.23,1.74,2.08,147.0
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,6.67,6.65,6.67,6.0,6.5,6.5,6.2,6.2,2.0,,,,,,,,,,,4.85,5.2,4.85,5.2,21.0,4.5,4.5,4.07,4.07,410.0,,,,,,3.8,3.8,3.78,3.78,51.0,3.45,3.5,3.45,3.5,9.0,2.79,3.2,2.5,2.65,75.0,2.75,2.75,2.39,2.39,198.0,2.46,2.61,2.08,2.15,215.0,2.03,2.31,1.74,1.93,54.0,1.74,2.1,1.51,1.65,621.0,1.59,1.79,1.4,1.47,66.0
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,7.8,7.8,6.0,7.82,7.82,7.82,7.82,10.0,6.85,6.85,6.85,6.85,2.0,,,,,,,,,,,5.36,5.36,5.26,5.28,12.0,5.15,5.15,5.15,5.15,3.0,4.57,4.57,4.48,4.48,16.0,4.0,4.35,4.0,4.35,37.0,3.65,4.0,3.5,3.95,139.0,3.34,3.74,3.2,3.5,19.0,2.93,3.23,2.79,3.23,275.0,2.61,3.0,2.57,2.9,147.0,2.45,2.69,2.11,2.55,458.0,2.2,2.49,1.88,2.4,244.0
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,5.16,5.4,164.0,4.85,5.23,4.6,4.6,724.0,4.65,4.65,4.65,4.65,32.0,4.3,4.3,4.3,4.3,30.0,4.25,4.45,3.14,3.3,156.0,3.4,3.5,2.83,2.86,1140.0,3.1,3.51,2.5,2.71,398.0,2.71,3.2,2.13,2.33,264.0,2.7,2.89,1.94,1.96,289.0,2.41,2.62,1.62,1.76,191.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,4.8,4.8,22.0,5.13,5.13,5.02,5.05,30.0,3.58,3.58,3.58,3.58,6.0,3.15,3.75,3.15,3.75,52.0,2.89,3.09,2.89,2.97,17.0,2.45,3.25,2.45,3.25,145.0,2.08,2.72,2.08,2.72,172.0,1.67,2.49,1.67,2.45,213.0,1.42,2.15,1.42,2.15,134.0,1.19,1.97,1.17,1.89,330.0,1.0,1.72,1.0,1.61,647.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,,,,,,,,,,,,,,,,6.95,7.3,6.95,7.3,5.0,6.8,6.8,6.8,6.8,1.0,6.3,6.3,6.3,6.3,3.0,5.7,5.9,5.7,5.9,2.0,,,,,,4.5,5.05,4.5,5.05,71.0,3.9,4.6,3.9,4.6,152.0,3.4,4.2,3.4,4.05,44.0,2.95,3.7,2.95,3.7,68.0,2.5,3.39,2.5,3.2,369.0,2.2,2.7,2.2,2.66,194.0,1.7,2.53,1.7,2.37,287.0,1.51,2.05,1.51,1.92,277.0,1.14,1.74,1.14,1.44,593.0,0.97,1.49,0.95,1.16,565.0,0.78,1.28,0.78,1.02,1761.0,0.67,1.12,0.64,0.79,2071.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.1,5.1,15.0,4.6,4.6,4.6,4.6,44.0,3.85,4.0,3.85,4.0,30.0,,,,,,2.93,3.4,2.93,3.4,57.0,2.49,2.68,2.49,2.66,67.0,2.03,2.53,2.03,2.53,37.0,1.74,1.74,1.74,1.74,8.0,1.31,1.86,1.27,1.72,830.0,1.07,1.48,1.02,1.35,455.0,0.83,1.26,0.82,1.15,1024.0,0.69,1.03,0.67,0.94,845.0,0.54,1.01,0.54,1.01,1419.0,0.47,0.69,0.45,0.58,886.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,3.88,3.88,3.88,2.0,,,,,,3.2,3.2,2.74,2.98,370.0,2.51,2.7,2.37,2.38,28.0,2.11,2.17,1.99,1.99,213.0,1.69,1.76,1.55,1.62,269.0,1.42,1.49,1.15,1.29,1014.0,1.12,1.19,0.91,1.03,880.0,0.98,0.99,0.72,0.91,3846.0,0.78,0.78,0.58,0.67,965.0,0.63,0.63,0.45,0.56,1669.0,0.53,0.53,0.38,0.42,3370.0
