date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,7.77,8.65,7.77,8.25,94.0,,,,,,,,,,,,,,,,6.58,7.34,6.58,7.34,2.0,,,,,,,,,,,,,,,,5.9,6.25,5.9,6.25,8.0,,,,,,5.8,5.8,5.2,5.2,90.0,,,,,,4.8,5.42,4.67,5.41,70.0,,,,,,4.4,5.0,4.4,4.84,93.0,,,,,,4.08,4.55,4.08,4.55,62.0,,,,,,4.2,4.5,4.04,4.5,23.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,10.95,11.47,8.8,8.85,245.0,,,,,,,,,,,,,,,,7.61,7.61,7.61,7.61,1.0,,,,,,,,,,,,,,,,8.9,8.9,8.9,8.9,1.0,,,,,,8.6,8.67,6.8,6.8,50.0,,,,,,7.8,8.04,5.94,5.94,46.0,,,,,,7.65,7.65,5.36,5.37,8383.0,,,,,,7.13,7.13,4.35,4.35,8388.0,,,,,,6.53,6.53,5.55,5.55,24.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,11.09,11.75,10.65,11.75,10.0,,,,,,,,,,,,,,,,10.15,10.15,10.15,10.15,1.0,,,,,,,,,,,,,,,,8.35,8.35,8.35,8.35,2.0,,,,,,7.57,8.17,7.57,8.17,23.0,,,,,,7.4,7.4,7.4,7.4,1.0,,,,,,6.48,7.16,6.2,7.16,28.0,,,,,,5.95,6.4,5.95,6.3,53.0,,,,,,5.88,6.33,5.88,6.33,12.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,11.5,11.5,11.5,11.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,9.9,9.9,40.0,,,,,,9.75,9.75,9.25,9.25,6.0,,,,,,7.48,9.12,7.44,9.12,15.0,,,,,,7.6,7.97,7.6,7.95,20.0,,,,,,6.15,8.2,6.15,8.2,44.0,,,,,,7.5,7.5,7.25,7.25,20.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,9.0,11.3,9.0,11.3,227.0,,,,,,,,,,,,,,,,9.35,9.35,9.35,9.35,1.0,,,,,,,,,,,,,,,,6.65,8.05,6.35,7.95,12.0,,,,,,6.15,7.5,5.98,7.5,12.0,,,,,,6.1,6.8,5.95,6.8,11.0,,,,,,5.5,7.3,5.5,7.3,7.0,,,,,,4.85,4.85,4.7,4.7,9.0,,,,,,5.42,5.42,5.42,5.42,1.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,12.27,12.27,11.43,12.15,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,9.62,8.95,8.95,5.0,,,,,,8.95,8.97,8.2,8.2,31.0,,,,,,7.7,8.13,7.55,8.13,42.0,,,,,,7.78,8.0,7.1,7.2,164.0,,,,,,7.38,7.39,6.75,6.75,40.0,,,,,,6.83,6.83,6.31,6.31,14.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,9.2,8.85,9.2,10.0,,,,,,8.0,8.0,7.9,7.9,2.0,,,,,,7.3,7.86,7.3,7.86,2.0,,,,,,7.2,7.4,7.2,7.33,15.0,,,,,,7.0,7.0,6.95,6.95,10.0,,,,,,5.83,6.35,5.8,6.35,31.0,,,,,,5.55,5.55,5.55,5.55,11.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,9.76,10.4,9.76,10.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,6.66,6.66,6.66,1.0,,,,,,6.14,6.14,6.14,6.14,1.0,,,,,,5.65,7.0,5.65,7.0,22.0,,,,,,5.2,6.35,5.2,6.35,29.0,,,,,,5.3,5.3,5.3,5.3,3.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,9.2,9.2,9.2,9.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,5.65,5.65,5.65,58.0,,,,,,5.1,5.1,5.1,5.1,2.0,,,,,,4.77,4.77,4.75,4.75,3.0,,,,,,4.5,4.75,4.35,4.75,75.0,,,,,,4.2,4.2,4.0,4.09,19.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,8.65,8.65,8.65,8.65,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,6.15,5.5,6.15,196.0,,,,,,5.5,5.75,5.5,5.75,6.0,,,,,,,,,,,,,,,,4.71,4.75,4.3,4.74,144.0,,,,,,4.05,4.61,4.05,4.61,50.0
