date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,8.0,8.06,7.6,7.7,43.0,6.6,6.79,6.6,6.79,2.0,5.47,6.14,5.47,6.14,20.0,,,,,,4.4,5.45,4.4,5.45,209.0,,,,,,3.75,4.73,3.75,4.68,44.0,,,,,,3.42,4.55,3.18,4.2,1617.0,,,,,,2.8,3.69,2.74,3.52,1086.0,,,,,,2.39,3.1,2.35,3.1,479.0,,,,,,2.08,2.85,2.0,2.18,3188.0,,,,,,1.74,2.59,1.74,2.59,751.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,11.26,11.26,8.28,8.28,180.0,10.15,10.15,9.9,9.9,2.0,,,,,,,,,,,8.36,8.36,5.65,5.65,70.0,,,,,,8.01,8.01,5.45,5.45,129.0,,,,,,5.9,7.55,4.25,4.28,1624.0,,,,,,6.15,6.77,3.65,3.75,642.0,,,,,,4.97,6.13,3.2,3.3,704.0,,,,,,5.01,5.4,1.78,2.5,2661.0,,,,,,4.69,4.79,2.41,2.49,1393.0,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,10.15,10.46,10.15,10.46,2.0,,,,,,8.77,8.77,8.77,8.77,25.0,,,,,,7.6,8.52,7.0,8.52,11.0,,,,,,6.7,7.5,6.6,7.5,32.0,,,,,,6.3,6.91,5.7,6.91,318.0,,,,,,5.2,6.35,5.14,5.8,300.0,,,,,,5.0,5.55,4.35,5.18,57.0,,,,,,4.39,5.0,3.75,4.63,513.0,,,,,,3.95,4.5,3.35,4.1,273.0,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,9.35,9.35,9.29,9.29,2.0,,,,,,8.18,8.18,8.18,8.18,2.0,,,,,,7.44,9.15,7.43,8.82,62.0,,,,,,6.4,8.51,6.26,7.8,427.0,,,,,,5.62,7.72,5.6,6.9,129.0,,,,,,4.98,7.08,4.91,6.14,152.0,,,,,,4.35,6.3,4.32,5.5,274.0,,,,,,3.9,5.7,3.88,5.1,179.0,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,9.05,11.0,9.05,10.06,118.0,9.95,9.95,9.95,9.95,1.0,9.14,9.14,8.0,8.0,27.0,,,,,,5.8,6.57,5.65,6.57,43.0,,,,,,5.37,5.95,4.9,5.85,99.0,,,,,,4.15,6.85,4.15,6.0,298.0,,,,,,3.65,6.1,3.65,5.4,439.0,,,,,,3.55,5.45,3.12,4.7,127.0,,,,,,2.72,4.95,2.72,4.3,331.0,,,,,,2.4,4.3,2.37,3.4,264.0,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,12.45,12.55,11.35,11.35,89.0,,,,,,10.51,10.51,9.68,9.68,39.0,,,,,,9.47,9.47,8.73,8.73,11.0,,,,,,8.75,8.75,7.87,7.87,25.0,,,,,,6.95,7.5,6.55,7.06,385.0,,,,,,6.23,7.15,5.95,5.95,63.0,,,,,,6.2,6.2,5.08,5.45,64.0,,,,,,5.65,5.68,4.65,4.91,184.0,,,,,,4.95,5.1,3.9,4.29,164.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,10.65,11.11,10.4,11.02,125.0,,,,,,,,,,,,,,,,7.47,7.47,7.47,7.47,2.0,,,,,,6.6,7.3,6.6,7.3,35.0,,,,,,5.9,6.8,5.9,6.45,72.0,,,,,,5.1,5.8,5.1,5.7,20.0,,,,,,4.49,5.25,4.45,5.05,24.0,,,,,,4.08,4.7,3.87,4.5,399.0,,,,,,3.55,3.95,3.4,3.75,115.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,9.55,11.43,9.55,11.4,31.0,,,,,,,,,,,,,,,,7.34,7.34,7.34,7.34,1.0,,,,,,6.3,7.55,6.3,7.55,9.0,,,,,,5.02,5.85,5.02,5.85,76.0,,,,,,4.38,5.75,4.35,5.75,30.0,,,,,,3.75,4.4,3.74,4.4,96.0,,,,,,3.3,4.8,3.28,4.5,43.0,,,,,,2.77,4.2,2.76,4.2,311.0,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,8.14,8.5,8.1,8.5,1033.0,,,,,,,,,,,,,,,,5.47,5.59,5.4,5.4,7.0,,,,,,4.64,4.64,4.55,4.6,7.0,,,,,,3.95,4.52,3.92,4.52,58.0,,,,,,3.34,3.57,3.33,3.57,63.0,,,,,,2.89,3.31,2.75,3.31,794.0,,,,,,2.49,2.8,2.36,2.8,1036.0,,,,,,2.16,4.56,2.03,4.56,476.0,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,8.4,8.4,7.85,7.85,32.0,,,,,,6.1,6.17,6.1,6.17,2.0,,,,,,5.35,5.75,5.29,5.5,58.0,,,,,,4.8,5.3,4.35,5.3,218.0,,,,,,4.3,4.55,3.75,4.5,276.0,,,,,,3.58,3.85,3.23,3.85,192.0,,,,,,3.17,3.64,2.72,3.48,365.0,,,,,,2.62,3.41,2.3,3.41,2040.0,,,,,,2.24,2.74,1.99,2.74,751.0,,,,,
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,8.8,9.7,8.8,9.3,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,5.64,5.15,5.64,6.0,,,,,,4.45,5.25,4.11,5.25,164.0,4.2,4.2,4.2,4.2,36.0,3.75,4.55,3.65,4.25,37.0,,,,,,3.32,4.0,3.0,3.64,488.0,3.15,3.15,2.92,2.92,7.0,2.8,3.37,2.55,2.99,521.0,2.44,2.96,2.4,2.96,215.0,2.38,2.95,2.2,2.74,3858.0,2.3,2.57,2.1,2.54,230.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,7.7,7.84,7.7,7.84,10.0,6.85,6.85,6.85,6.85,10.0,5.96,5.96,5.96,5.96,2.0,,,,,,5.03,5.03,5.03,5.03,3.0,4.6,4.6,4.6,4.6,4.0,4.0,4.35,4.0,4.35,12.0,3.84,4.05,3.8,4.05,25.0,3.35,3.71,3.3,3.67,68.0,,,,,,2.73,3.05,2.73,3.05,103.0,2.48,2.56,2.48,2.55,8.0,2.27,2.63,2.25,2.58,1236.0,2.13,2.4,2.07,2.4,268.0,1.88,2.24,1.88,2.24,818.0,1.75,2.07,1.75,2.07,72.0,1.6,1.98,1.6,1.92,497.0,1.45,1.64,1.44,1.64,10.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,7.2,7.2,7.2,7.2,10.0,6.6,6.6,6.43,6.43,11.0,,,,,,,,,,,4.3,4.3,4.3,4.3,1.0,,,,,,3.61,4.13,3.5,3.92,33.0,3.55,3.55,3.52,3.52,10.0,3.04,3.4,2.9,3.19,74.0,2.83,2.99,2.83,2.97,134.0,2.53,2.85,2.39,2.79,262.0,2.27,2.57,2.27,2.45,122.0,2.07,2.41,1.99,2.26,427.0,1.9,2.19,1.84,2.01,118.0,1.74,2.0,1.63,1.87,192.0,1.56,1.85,1.47,1.72,287.0,1.37,1.65,1.36,1.59,3685.0,1.32,1.51,1.27,1.5,27.0
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,8.75,8.85,8.6,8.6,30.0,7.8,8.05,7.45,8.05,6.0,,,,,,,,,,,,,,,,,,,,,5.59,5.59,4.71,4.85,14.0,5.0,5.0,4.95,4.95,36.0,4.35,4.6,3.97,4.01,273.0,4.1,4.1,3.9,3.9,19.0,3.68,4.05,2.98,2.98,147.0,3.58,3.58,3.37,3.37,2.0,3.2,3.5,2.59,2.59,3222.0,3.19,3.19,2.52,2.61,1150.0,2.73,3.0,2.26,2.37,703.0,2.71,2.74,2.08,2.15,1924.0,2.29,2.58,1.93,1.93,6420.0,2.39,2.4,1.81,1.81,1154.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,8.35,8.35,7.9,8.35,14.0,,,,,,,,,,,,,,,,5.39,5.39,5.39,5.39,21.0,,,,,,4.5,4.51,4.4,4.4,25.0,4.05,4.05,4.05,4.05,43.0,3.85,3.85,3.65,3.72,86.0,,,,,,3.12,3.31,3.0,3.0,12.0,2.8,2.97,2.8,2.81,49.0,2.57,2.9,2.44,2.6,322.0,2.22,2.34,2.22,2.34,7.0,2.14,2.41,2.03,2.2,504.0,1.99,2.23,1.86,1.96,427.0,1.72,2.06,1.69,1.79,533.0,1.63,1.9,1.54,1.65,129.0
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,8.22,8.22,8.22,8.22,4.0,,,,,,,,,,,,,,,,6.1,6.12,4.95,4.95,433.0,5.21,5.22,5.2,5.2,4.0,5.2,5.2,4.14,4.18,111.0,,,,,,4.45,4.45,3.4,3.4,8.0,,,,,,3.64,3.64,2.78,2.83,74.0,3.1,3.1,2.54,2.67,23.0,3.05,3.05,2.26,2.4,156.0,2.87,2.87,2.03,2.03,50.0,2.59,2.68,1.81,1.84,1153.0,2.32,2.37,1.64,1.72,574.0,2.22,2.22,1.5,1.56,624.0,2.04,2.04,1.42,1.43,154.0
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,10.2,10.2,9.65,9.95,8.0,,,,,,7.51,7.51,7.48,7.48,2.0,7.5,7.5,7.0,7.0,6.0,6.98,7.07,6.98,7.07,25.0,,,,,,5.85,6.15,5.85,6.15,4.0,,,,,,5.0,5.5,5.0,5.05,66.0,4.55,4.83,4.55,4.83,48.0,4.4,4.7,4.04,4.15,35.0,4.1,4.1,3.58,4.05,24.0,3.62,3.95,3.38,3.74,193.0,2.97,2.97,2.97,2.97,1.0,2.92,3.35,2.67,3.13,467.0,2.76,3.1,2.46,3.03,568.0,2.38,2.83,2.21,2.48,767.0,2.25,2.5,2.09,2.4,773.0
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,9.45,9.45,8.9,9.2,38.0,8.3,8.4,8.3,8.4,2.0,7.1,7.45,7.1,7.45,10.0,,,,,,6.33,6.33,6.29,6.29,3.0,,,,,,5.8,5.8,5.3,5.55,23.0,,,,,,4.58,4.58,4.2,4.2,2.0,4.6,4.6,4.6,4.6,4.0,4.0,4.0,3.74,3.74,7.0,,,,,,3.37,3.37,2.79,2.92,110.0,3.15,3.15,2.75,2.92,36.0,2.85,2.85,2.27,2.57,49.0,2.5,2.5,2.06,2.25,173.0,2.12,2.37,1.87,2.02,303.0,2.1,2.18,1.77,1.8,1569.0
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,10.59,10.59,10.59,10.59,30.0,9.65,9.65,9.65,9.65,2.0,,,,,,,,,,,7.3,7.72,7.3,7.72,75.0,,,,,,6.3,6.68,6.3,6.68,125.0,5.92,5.92,5.9,5.9,341.0,5.65,5.9,5.29,5.87,115.0,5.0,5.3,5.0,5.3,10.0,4.82,5.09,4.45,5.0,98.0,4.17,4.17,4.17,4.17,1.0,4.0,4.32,3.62,4.0,471.0,3.68,3.68,3.68,3.68,1.0,3.44,3.6,3.03,3.51,119.0,2.99,3.27,2.72,3.09,112.0,2.86,3.1,2.47,2.87,660.0,2.52,2.8,2.36,2.7,1036.0
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,11.3,11.3,10.53,10.53,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.3,7.1,7.3,10.0,,,,,,6.2,6.2,5.08,5.08,111.0,4.77,4.77,4.77,4.77,5.0,5.41,5.5,4.35,4.35,77.0,4.8,5.0,3.75,4.15,207.0,4.59,4.69,3.42,3.55,538.0,4.05,4.2,3.15,3.35,14.0,3.4,3.99,2.8,3.04,432.0,3.4,3.4,2.5,3.1,164.0,3.05,3.27,2.32,2.39,246.0,2.55,2.98,2.02,2.12,297.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,9.68,9.77,9.67,9.77,184.0,,,,,,7.27,7.27,7.27,7.27,2.0,,,,,,,,,,,,,,,,5.1,5.99,5.1,5.99,16.0,4.9,4.9,4.9,4.9,11.0,4.31,4.94,4.3,4.94,64.0,,,,,,3.45,4.25,3.45,4.25,52.0,2.93,4.0,2.93,4.0,91.0,2.63,3.55,2.6,3.38,176.0,2.31,2.99,2.3,2.99,185.0,2.04,2.94,2.03,2.8,349.0,2.09,2.21,2.05,2.21,14.0,1.59,2.32,1.59,2.25,264.0,1.42,2.05,1.4,2.05,137.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,8.95,9.15,8.95,9.15,11.0,,,,,,,,,,,,,,,,5.55,5.55,5.55,5.55,10.0,,,,,,4.65,5.05,4.65,5.05,30.0,4.8,4.8,4.8,4.8,6.0,3.8,4.25,3.8,4.25,24.0,3.3,3.7,3.3,3.7,12.0,2.76,3.5,2.76,3.3,220.0,2.38,3.0,2.38,2.91,227.0,2.09,2.7,2.08,2.35,423.0,1.9,2.4,1.9,2.13,385.0,1.5,2.21,1.5,1.8,8908.0,1.34,1.9,1.34,1.81,299.0,1.21,1.72,1.19,1.44,9250.0,1.15,1.53,1.12,1.12,314.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,8.45,8.45,8.45,8.45,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.15,4.04,4.15,59.0,3.7,3.7,3.7,3.7,10.0,3.05,3.25,3.02,3.25,29.0,2.59,2.92,2.59,2.8,269.0,2.38,2.78,2.31,2.74,219.0,2.03,2.44,2.03,2.35,53.0,1.69,2.11,1.66,1.97,154.0,1.63,1.86,1.62,1.71,55.0,1.25,1.65,1.23,1.5,909.0,1.05,1.42,1.05,1.3,643.0,0.96,1.21,0.91,1.17,3867.0,0.82,1.07,0.82,1.07,36.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,7.92,7.92,7.92,7.92,10.0,,,,,,,,,,,,,,,,4.9,4.9,4.9,4.9,8.0,4.56,4.56,4.3,4.3,24.0,3.95,3.95,3.8,3.8,6.0,3.53,3.6,3.53,3.6,20.0,3.2,3.25,2.94,3.0,56.0,2.66,2.69,2.43,2.61,94.0,2.34,2.4,2.09,2.25,2271.0,1.88,2.04,1.82,1.93,116.0,1.72,1.75,1.54,1.69,296.0,1.46,1.5,1.32,1.41,2232.0,1.36,1.36,1.11,1.18,5322.0,1.13,1.16,0.95,1.04,165.0,1.05,1.05,0.81,0.9,1200.0,0.85,0.87,0.77,0.8,200.0
2019-06-10,2019-06-10,27.86,28.24,27.61,27.71,14480560.0,,,,,,,,,,,,,,,,,,,,,4.9,5.2,4.7,4.7,135.0,4.6,4.6,4.6,4.6,11.0,4.1,4.1,3.65,3.65,72.0,3.45,3.45,3.45,3.45,4.0,2.85,3.15,2.74,2.82,90.0,2.51,2.73,2.36,2.36,47.0,2.15,2.34,2.0,2.05,530.0,1.8,1.98,1.69,1.7,200.0,1.54,1.71,1.43,1.5,566.0,1.29,1.46,1.19,1.25,352.0,1.06,1.24,1.0,1.08,1226.0,0.91,1.06,0.85,0.9,455.0,0.79,0.89,0.71,0.8,758.0,0.75,0.75,0.62,0.68,47.0
2019-06-11,2019-06-11,27.91,28.3,27.3,27.4,18841531.0,,,,,,,,,,,5.54,5.54,5.54,5.54,1.0,5.05,5.05,5.05,5.05,1.0,,,,,,4.45,4.7,4.0,4.0,29.0,3.61,3.66,3.61,3.66,33.0,,,,,,2.98,3.18,2.52,2.7,147.0,2.52,2.73,2.16,2.16,27.0,2.13,2.46,1.82,1.86,586.0,1.82,2.02,1.49,1.54,229.0,1.52,1.76,1.18,1.19,726.0,1.21,1.47,0.96,0.96,471.0,1.0,1.25,0.8,0.87,8230.0,0.82,1.05,0.69,0.69,768.0,0.72,0.88,0.58,0.68,1076.0,0.59,0.74,0.57,0.61,2664.0
2019-06-12,2019-06-12,27.78,28.3,27.66,28.11,14225241.0,,,,,,,,,,,,,,,,,,,,,5.14,5.14,5.14,5.14,3.0,,,,,,3.8,4.15,3.8,4.03,202.0,,,,,,2.75,3.17,2.75,3.17,138.0,2.38,2.6,2.34,2.6,28.0,2.01,2.31,1.95,2.31,188.0,1.59,1.92,1.56,1.92,133.0,1.29,1.59,1.22,1.59,480.0,1.0,1.41,0.99,1.38,557.0,0.84,1.2,0.77,1.09,3838.0,0.66,0.99,0.64,0.92,457.0,0.5,0.82,0.5,0.72,2190.0,0.43,0.68,0.43,0.68,77.0
2019-06-13,2019-06-13,27.61,27.905,27.33,27.45,17051858.0,,,,,,,,,,,,,,,,4.95,4.95,4.95,4.95,9.0,,,,,,4.2,4.2,4.2,4.2,22.0,3.77,3.77,3.45,3.45,152.0,3.15,3.2,2.91,2.95,149.0,2.7,2.89,2.41,2.5,158.0,2.43,2.43,2.0,2.05,99.0,1.99,1.99,1.6,1.68,226.0,1.5,1.58,1.28,1.35,257.0,1.15,1.3,0.98,1.03,585.0,0.86,1.01,0.75,0.85,973.0,0.63,0.79,0.58,0.7,2053.0,0.51,0.61,0.47,0.52,2212.0,0.42,0.49,0.37,0.45,1859.0,0.34,0.4,0.3,0.38,521.0
