date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,5.82,5.82,5.4,5.4,10.0,,,,,,4.85,4.85,4.8,4.8,2.0,4.37,4.37,4.37,4.37,1.0,,,,,,4.0,4.0,3.35,3.65,420.0,3.19,3.3,3.1,3.25,226.0,2.5,3.4,2.5,3.4,56.0,2.25,3.06,2.25,2.95,189.0,2.02,2.74,1.94,2.66,127.0,1.78,2.5,1.78,2.43,118.0,1.61,2.18,1.58,2.06,519.0,1.7,1.99,1.7,1.96,99.0,1.6,1.72,1.47,1.72,17.0,1.15,1.68,1.15,1.6,225.0,1.44,1.44,1.44,1.44,10.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.1,6.54,6.54,2.0,,,,,,7.4,7.4,7.4,7.4,3.0,6.8,6.8,4.22,4.22,39.0,6.25,6.25,3.76,3.76,60.0,6.17,6.17,4.23,4.23,3965.0,5.76,5.76,3.3,3.3,67.0,5.35,5.35,2.89,2.89,41.0,4.67,5.35,2.88,2.88,156.0,4.7,5.27,2.4,2.4,505.0,4.0,4.85,2.24,2.24,313.0,4.36,4.36,1.93,1.93,242.0,3.77,4.14,1.75,1.75,75.0,3.35,3.53,1.78,1.78,135.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,9.2,9.2,9.2,9.2,2.0,,,,,,,,,,,8.16,8.16,8.16,8.16,1.0,6.9,6.91,6.9,6.9,4.0,6.32,6.32,6.31,6.31,2.0,,,,,,5.15,6.05,5.15,6.05,7.0,4.64,4.87,4.6,4.87,4.0,4.98,4.99,4.98,4.99,2.0,4.62,4.62,4.05,4.05,5.0,4.2,4.76,4.2,4.76,3.0,3.67,4.5,3.5,4.4,42.0,3.81,4.5,3.35,4.08,293.0,3.15,3.55,2.92,3.36,42.0,3.05,3.4,3.02,3.4,6.0,3.0,3.42,2.46,3.42,86.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,10.15,10.15,10.15,10.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,8.8,8.8,8.8,5.0,,,,,,8.15,8.15,7.45,7.45,7.0,,,,,,7.21,7.21,7.21,7.21,1.0,5.0,6.79,5.0,6.71,6.0,6.29,6.29,6.15,6.2,14.0,4.16,6.03,4.1,5.6,52.0,3.82,5.84,3.82,5.04,46.0,3.55,5.2,3.48,4.8,39.0,3.15,4.85,3.15,4.85,30.0,2.95,4.45,2.95,4.2,67.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.12,8.12,8.12,8.12,1.0,,,,,,4.8,4.85,4.8,4.8,100.0,,,,,,4.09,6.4,4.09,6.4,51.0,5.51,5.51,5.51,5.51,1.0,3.45,4.0,3.45,4.0,22.0,4.99,4.99,4.98,4.98,4.0,2.88,4.52,2.6,4.0,27.0,2.51,4.34,2.51,4.28,11.0,2.24,4.0,2.24,4.0,174.0,2.05,2.78,1.79,2.78,16.0,1.88,3.2,1.61,3.2,64.0,1.97,3.05,1.76,2.52,10.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,10.3,10.3,10.3,10.3,1.0,,,,,,10.17,10.17,10.17,10.17,6.0,,,,,,9.61,9.61,9.61,9.61,10.0,,,,,,8.0,8.0,8.0,8.0,1.0,,,,,,6.45,7.52,6.45,6.75,544.0,7.2,7.2,5.8,5.8,8.0,6.47,6.75,5.45,5.45,80.0,5.55,5.55,5.55,5.55,2.0,5.7,5.74,5.0,5.35,22.0,5.2,5.2,4.55,4.55,16.0,4.9,5.0,4.05,4.6,129.0,4.5,4.5,4.25,4.25,23.0,4.15,4.2,3.55,3.63,95.0,3.65,3.65,2.95,3.2,57.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,9.42,9.42,9.35,9.35,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,6.65,6.65,6.65,15.0,,,,,,5.96,5.96,5.96,5.96,4.0,5.13,5.13,5.13,5.13,1.0,4.65,5.5,4.6,5.15,58.0,,,,,,3.87,4.5,3.85,4.5,12.0,4.09,4.15,4.09,4.15,7.0,3.35,3.76,3.35,3.65,26.0,2.99,3.2,2.86,3.2,35.0,2.59,3.28,2.59,3.27,56.0,2.27,2.49,2.26,2.49,18.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,,,,,,7.35,7.35,7.35,7.35,11.0,6.83,7.21,6.83,7.21,31.0,,,,,,6.2,6.2,6.2,6.2,1.0,,,,,,4.5,4.73,4.5,4.73,211.0,4.6,5.85,4.6,5.85,13.0,4.15,5.64,4.15,5.64,60.0,,,,,,3.05,3.05,3.05,3.05,1.0,2.75,2.75,2.73,2.73,11.0,2.35,3.47,2.35,3.47,68.0,2.16,3.75,2.16,3.75,32.0,1.88,3.35,1.86,3.35,349.0,1.67,1.94,1.67,1.94,246.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,6.25,6.25,6.25,6.25,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.3,3.3,4.3,69.0,3.2,3.2,2.93,3.15,15.0,2.69,2.81,2.61,2.75,142.0,2.38,2.38,2.3,2.3,16.0,2.21,2.79,2.0,2.79,46.0,1.85,1.9,1.75,1.9,14.0,1.63,1.88,1.5,1.87,125.0,1.45,1.6,1.37,1.6,296.0,1.27,1.65,1.16,1.63,1285.0,1.19,1.2,1.02,1.11,142.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,7.2,7.2,7.2,7.2,6.0,5.92,5.92,5.92,5.92,1.0,5.45,6.26,5.45,6.26,25.0,4.95,4.95,4.95,4.95,8.0,4.45,4.45,4.23,4.23,33.0,3.9,3.9,3.9,3.9,9.0,3.6,4.1,3.2,4.1,109.0,2.91,3.55,2.88,3.55,87.0,2.73,2.78,2.49,2.78,74.0,2.55,2.73,2.41,2.73,61.0,2.15,2.56,1.9,2.56,98.0,1.95,2.26,1.65,2.26,133.0,1.75,2.05,1.4,2.05,405.0,1.52,2.04,1.29,2.03,649.0,1.34,1.82,1.08,1.78,437.0,1.18,1.36,0.97,1.36,94.0
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.77,5.77,5.77,5.77,1.0,5.2,5.2,5.2,5.2,10.0,,,,,,4.15,4.15,4.15,4.15,3.0,3.99,4.6,3.77,4.4,45.0,3.6,3.8,3.4,3.8,21.0,3.15,3.85,2.82,3.85,43.0,2.92,2.92,2.41,2.5,7.0,2.35,3.1,2.27,2.92,104.0,2.05,2.62,1.89,2.62,99.0,1.84,2.46,1.57,2.16,499.0,1.56,2.13,1.35,1.95,446.0,1.35,1.95,1.22,1.75,1042.0,1.19,1.68,1.12,1.55,630.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,3.9,3.57,3.9,8.0,3.24,3.24,3.24,3.24,2.0,2.69,3.1,2.57,3.1,85.0,2.27,2.56,2.19,2.56,220.0,1.94,2.22,1.83,2.22,381.0,1.77,1.9,1.77,1.89,71.0,1.3,1.76,1.3,1.76,261.0,1.09,1.4,1.08,1.4,344.0,0.9,1.21,0.9,1.02,452.0,0.79,1.03,0.75,1.02,102.0,0.65,0.92,0.63,0.89,381.0,0.53,0.75,0.53,0.73,331.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,7.44,7.44,7.44,7.44,1.0,,,,,,,,,,,,,,,,,,,,,4.4,4.4,4.4,4.4,1.0,,,,,,3.15,3.3,3.15,3.3,11.0,2.58,3.15,2.58,2.96,36.0,2.34,2.73,2.19,2.6,183.0,1.94,2.34,1.78,2.15,186.0,1.56,2.0,1.47,1.86,3892.0,1.3,1.66,1.19,1.46,2236.0,1.07,1.41,0.97,1.2,3653.0,0.88,1.17,0.78,1.06,2855.0,0.75,0.98,0.65,0.96,339.0,0.6,1.0,0.54,1.0,235.0,0.49,0.68,0.44,0.65,388.0,0.41,0.59,0.31,0.54,123.0
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,8.35,8.35,8.35,8.35,1.0,,,,,,,,,,,,,,,,6.28,6.28,6.28,6.28,1.0,6.05,6.05,5.53,5.53,46.0,5.1,5.1,5.1,5.1,8.0,5.3,5.35,4.55,4.55,21.0,,,,,,4.0,4.0,3.4,3.4,238.0,3.85,3.95,2.5,2.5,35.0,3.15,3.45,2.45,2.45,3992.0,2.83,3.08,2.22,2.38,2344.0,2.54,2.74,1.8,1.8,4037.0,2.09,2.38,1.35,1.35,2647.0,1.77,2.04,1.28,1.28,6780.0,1.54,1.73,1.02,1.02,2753.0,1.24,1.54,0.88,0.88,8394.0,1.07,1.3,0.76,0.77,1344.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.35,4.95,4.95,18.0,4.9,4.9,4.6,4.6,63.0,4.4,4.6,4.0,4.0,177.0,3.8,3.8,3.8,3.8,11.0,3.2,3.6,3.15,3.6,82.0,2.74,3.1,2.62,2.62,84.0,2.33,3.45,2.16,2.19,385.0,1.9,2.37,1.78,1.78,622.0,1.53,2.05,1.46,1.54,2447.0,1.34,1.68,1.17,1.26,337.0,1.06,1.39,0.95,1.2,2320.0,0.83,1.18,0.79,0.92,1353.0,0.66,1.0,0.64,0.75,2682.0,0.58,0.82,0.55,0.69,631.0
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,8.3,8.3,7.8,7.8,2.0,,,,,,,,,,,,,,,,,,,,,5.3,5.3,5.3,5.3,1.0,5.12,5.13,4.5,4.8,18.0,5.2,5.2,3.95,4.1,49.0,4.35,4.35,4.35,4.35,3.0,4.0,4.05,3.05,3.05,5.0,3.6,3.6,2.35,2.42,63.0,3.2,3.2,1.91,1.93,140.0,2.72,2.72,1.52,1.64,313.0,2.27,2.3,1.18,1.32,934.0,1.91,1.92,0.91,1.04,529.0,1.51,1.58,0.7,0.93,6559.0,1.22,1.27,0.55,0.79,2982.0,0.96,1.03,0.42,0.56,4871.0,0.78,0.82,0.33,0.47,971.0
