date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,0.9,0.93,0.85,0.85,68.0,,,,,,1.41,1.41,1.25,1.25,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,2.64,2.42,2.56,544.0,,,,,,3.3,3.35,2.92,3.12,97.0,,,,,,3.89,4.01,3.6,3.65,21.0,,,,,,4.64,4.64,4.15,4.18,77.0,,,,,,4.95,5.0,4.75,5.0,102.0,,,,,,5.45,5.75,5.45,5.75,7.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,0.48,0.65,0.48,0.65,78.0,,,,,,0.67,0.67,0.67,0.67,2.0,,,,,,0.99,1.14,0.94,1.03,5014.0,,,,,,1.29,2.08,1.29,2.08,5.0,,,,,,1.63,2.26,1.63,2.26,118.0,,,,,,2.28,2.75,1.9,2.74,657.0,,,,,,2.54,3.2,2.54,3.2,51.0,,,,,,3.25,3.55,2.89,3.47,47.0,,,,,,3.53,4.83,3.5,4.83,137.0,,,,,,4.2,4.9,4.2,4.8,70.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,0.6,0.61,0.57,0.61,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.55,1.47,1.55,202.0,,,,,,2.05,2.05,1.82,1.82,51.0,,,,,,2.28,2.36,2.23,2.25,24.0,,,,,,2.69,2.95,2.66,2.66,134.0,,,,,,3.45,3.45,3.45,3.45,10.0,,,,,,4.0,4.15,4.0,4.15,4.0,,,,,,4.4,4.4,4.2,4.2,51.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,0.55,0.55,0.45,0.45,225.0,,,,,,0.71,0.71,0.71,0.71,20.0,,,,,,0.85,0.85,0.83,0.83,5002.0,,,,,,,,,,,,,,,,1.58,1.58,1.4,1.48,13.0,,,,,,2.15,2.15,1.72,1.95,816.0,,,,,,2.52,2.52,2.11,2.17,55.0,,,,,,3.1,3.1,2.61,2.75,394.0,,,,,,3.52,3.52,3.07,3.08,18.0,,,,,,4.1,4.2,3.7,3.7,64.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,0.77,0.77,0.59,0.59,35.0,,,,,,1.04,1.04,1.04,1.04,3000.0,,,,,,1.35,1.35,1.0,1.0,6.0,,,,,,1.61,1.65,1.31,1.31,17.0,,,,,,2.07,2.07,1.86,1.86,147.0,,,,,,2.65,2.65,1.97,2.17,105.0,,,,,,2.4,2.5,2.4,2.5,3.0,,,,,,3.6,3.6,2.94,2.94,114.0,,,,,,4.05,4.05,3.5,3.93,17.0,,,,,,4.9,4.9,4.35,4.35,203.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,0.47,0.47,0.42,0.42,35.0,,,,,,0.64,0.64,0.64,0.64,1.0,,,,,,0.85,0.91,0.84,0.91,8.0,,,,,,1.25,1.25,1.14,1.14,220.0,,,,,,1.6,1.6,1.37,1.51,204.0,,,,,,1.78,2.02,1.72,2.02,272.0,,,,,,2.19,2.41,2.19,2.41,48.0,,,,,,2.71,2.9,2.65,2.9,88.0,,,,,,3.12,3.45,3.05,3.3,29.0,,,,,,3.8,3.95,3.6,3.95,46.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,0.49,0.49,0.48,0.48,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.3,1.3,10.0,,,,,,1.53,1.6,1.53,1.6,6.0,,,,,,1.99,2.04,1.95,2.0,17.0,,,,,,2.45,2.48,2.39,2.42,19.0,,,,,,2.96,2.96,2.91,2.91,16.0,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,10.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,0.51,0.51,0.5,0.5,8.0,,,,,,0.78,0.78,0.78,0.78,4.0,,,,,,1.05,1.05,1.0,1.0,8.0,,,,,,,,,,,,,,,,1.78,1.81,1.78,1.81,2.0,,,,,,2.21,2.21,1.78,1.78,16.0,,,,,,2.72,2.72,2.15,2.15,13.0,,,,,,3.2,3.2,3.2,3.2,1.0,,,,,,3.65,3.65,3.12,3.12,3.0,,,,,,4.5,4.5,3.68,3.68,23.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,0.65,0.65,0.65,0.65,27.0,,,,,,0.93,0.95,0.9,0.9,24.0,,,,,,1.28,1.3,1.23,1.23,6.0,,,,,,1.68,1.68,1.65,1.67,106.0,,,,,,2.14,2.14,2.05,2.13,127.0,,,,,,2.51,2.63,2.51,2.54,1408.0,,,,,,3.15,3.15,3.12,3.12,2.0,,,,,,3.7,3.85,3.4,3.4,77.0,,,,,,4.28,4.4,4.28,4.35,106.0,,,,,,4.99,5.0,4.98,4.98,19.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.72,0.72,0.59,0.59,24.0,,,,,,1.0,1.0,1.0,1.0,13.0,,,,,,1.34,1.34,1.3,1.3,6.0,,,,,,,,,,,,,,,,2.07,2.07,1.95,2.03,32.0,,,,,,2.54,2.72,2.15,2.15,132.0,,,,,,3.15,3.25,3.15,3.25,31.0,,,,,,3.6,3.85,3.5,3.5,120.0,,,,,,4.27,4.47,4.1,4.13,75.0,,,,,,5.06,5.06,4.7,4.7,14.0
