date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,0.01,0.01,0.01,0.01,3.0,0.01,0.03,0.01,0.03,11.0,0.03,0.03,0.02,0.02,22.0,0.04,0.06,0.04,0.04,1460.0,0.09,0.09,0.08,0.08,62.0,0.14,0.14,0.11,0.11,42.0,0.17,0.23,0.1,0.15,768.0,0.37,0.37,0.26,0.3,68.0,0.5,0.5,0.32,0.37,213.0,0.69,0.69,0.48,0.54,234.0,0.89,0.89,0.6,0.69,119.0,1.05,1.12,0.83,0.89,186.0,1.29,1.29,1.03,1.13,112.0,1.58,1.58,1.28,1.48,26.0,2.01,2.01,1.49,1.72,46.0,2.29,2.29,1.85,1.85,463.0,2.18,2.38,2.18,2.38,49.0,2.96,3.02,2.45,2.45,161.0,3.35,3.35,2.88,2.89,210.0,3.74,3.74,3.2,3.3,88.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,0.01,0.02,0.01,0.01,32.0,0.03,0.04,0.02,0.02,50.0,0.04,0.06,0.03,0.05,42.0,0.06,0.06,0.06,0.06,11.0,0.08,0.15,0.08,0.14,81.0,0.12,0.2,0.11,0.2,354.0,0.2,0.28,0.15,0.28,16.0,0.22,0.33,0.22,0.28,81.0,0.32,0.55,0.25,0.55,202.0,0.38,0.73,0.35,0.72,295.0,0.57,0.88,0.49,0.87,362.0,0.7,1.01,0.66,1.01,75.0,0.76,1.4,0.76,1.35,94.0,0.94,1.63,0.88,1.6,253.0,1.37,1.96,0.94,1.96,796.0,1.2,1.92,1.2,1.92,63.0,1.47,2.31,1.37,2.31,122.0,1.6,2.86,1.6,2.86,208.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,0.02,0.02,0.02,0.02,5.0,,,,,,0.05,0.05,0.05,0.05,25.0,0.06,0.07,0.04,0.04,141.0,0.07,0.07,0.06,0.06,11.0,0.14,0.14,0.14,0.14,80.0,0.16,0.21,0.13,0.15,17.0,0.25,0.25,0.18,0.18,10.0,0.3,0.36,0.24,0.3,90.0,0.48,0.48,0.36,0.36,106.0,0.57,0.63,0.43,0.47,106.0,0.79,0.79,0.62,0.62,42.0,0.8,0.95,0.72,0.81,100.0,1.15,1.15,0.89,0.91,28.0,1.2,1.37,1.05,1.05,633.0,1.5,1.5,1.23,1.33,10.0,1.69,1.89,1.46,1.5,99.0,2.01,2.01,2.0,2.0,40.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.02,887.0,0.05,0.05,0.02,0.02,22.0,0.04,0.04,0.04,0.04,36.0,0.07,0.07,0.03,0.04,18.0,0.05,0.06,0.05,0.06,10.0,0.1,0.11,0.08,0.11,31.0,0.18,0.21,0.12,0.12,17.0,0.28,0.28,0.11,0.2,274.0,0.28,0.3,0.2,0.25,565.0,0.44,0.45,0.27,0.29,1801.0,0.49,0.62,0.36,0.38,32.0,0.76,0.76,0.47,0.47,100.0,0.78,0.96,0.58,0.61,111.0,1.11,1.13,0.63,0.68,700.0,1.25,1.25,1.25,1.25,1.0,1.55,1.57,0.96,1.1,270.0,1.89,1.89,1.1,1.3,141.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,0.02,0.03,0.02,0.02,44.0,,,,,,0.04,0.04,0.04,0.04,2.0,0.04,0.04,0.04,0.04,80.0,0.08,0.08,0.08,0.08,1.0,0.09,0.09,0.09,0.09,81.0,0.23,0.23,0.15,0.16,108.0,0.3,0.3,0.18,0.19,582.0,0.44,0.44,0.26,0.26,205.0,0.5,0.56,0.28,0.39,471.0,0.75,0.8,0.36,0.53,193.0,0.94,0.94,0.46,0.61,90.0,1.05,1.15,0.6,0.72,101.0,1.45,1.45,0.74,0.74,43.0,1.77,1.77,0.9,1.25,606.0,2.0,2.0,1.11,1.38,46.0,2.35,2.35,1.23,1.74,152.0,2.63,2.63,1.53,1.94,77.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,0.03,0.03,0.03,0.03,5.0,0.01,0.02,0.01,0.02,55.0,,,,,,0.02,0.02,0.02,0.02,3.0,0.03,0.03,0.02,0.03,17.0,0.05,0.07,0.04,0.05,329.0,0.06,0.1,0.06,0.1,44.0,0.11,0.14,0.1,0.13,70.0,0.12,0.18,0.1,0.17,79.0,0.15,0.27,0.15,0.24,762.0,0.22,0.33,0.22,0.29,1698.0,0.28,0.41,0.26,0.33,121.0,0.49,0.56,0.35,0.52,353.0,0.41,0.7,0.41,0.7,69.0,0.59,0.96,0.59,0.65,433.0,0.86,1.0,0.8,1.0,1059.0,0.83,1.32,0.82,1.2,108.0,1.17,1.37,1.17,1.28,13.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,1.0,0.02,0.02,0.01,0.01,16.0,0.03,0.03,0.03,0.03,1.0,0.05,0.05,0.05,0.05,5.0,0.05,0.06,0.05,0.06,5.0,0.06,0.06,0.06,0.06,5.0,0.1,0.11,0.09,0.09,26.0,0.14,0.15,0.12,0.12,19.0,0.19,0.21,0.19,0.21,165.0,0.27,0.28,0.24,0.27,671.0,0.35,0.38,0.33,0.35,23.0,0.44,0.51,0.41,0.49,35.0,0.6,0.66,0.53,0.62,270.0,0.76,0.83,0.68,0.78,565.0,0.98,1.03,0.85,0.95,123.0,1.1,1.25,1.06,1.18,660.0,1.45,1.49,1.21,1.21,74.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.02,0.02,32.0,0.03,0.03,0.02,0.02,22.0,0.06,0.06,0.05,0.05,85.0,0.08,0.08,0.05,0.05,69.0,0.11,0.11,0.03,0.03,22.0,0.18,0.18,0.09,0.09,307.0,0.2,0.2,0.11,0.12,316.0,0.34,0.34,0.16,0.16,725.0,0.48,0.48,0.36,0.36,70.0,0.66,0.66,0.3,0.31,395.0,0.83,0.83,0.42,0.42,28.0,1.02,1.03,0.81,0.81,287.0,1.27,1.27,0.7,0.7,515.0,1.56,1.56,1.19,1.19,186.0,1.79,1.79,1.07,1.07,195.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,0.02,0.02,0.01,0.02,28.0,0.02,0.02,0.02,0.02,759.0,,,,,,0.03,0.03,0.02,0.02,21.0,0.03,0.04,0.03,0.04,774.0,0.07,0.07,0.07,0.07,5.0,0.08,0.12,0.08,0.12,136.0,0.15,0.15,0.15,0.15,2.0,0.26,0.29,0.24,0.24,134.0,0.37,0.4,0.32,0.32,135.0,0.5,0.59,0.36,0.36,2138.0,0.69,0.77,0.56,0.57,231.0,0.92,1.0,0.75,0.75,179.0,1.13,1.26,0.92,0.92,162.0,1.4,1.55,1.12,1.12,1614.0,1.7,1.81,1.46,1.46,533.0,2.06,2.14,1.77,1.77,92.0,2.38,2.42,1.96,1.96,33.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,0.01,0.01,0.01,0.01,2.0,,,,,,,,,,,0.01,0.03,0.01,0.02,20.0,0.03,0.03,0.03,0.03,3.0,0.07,0.07,0.07,0.07,160.0,0.06,0.13,0.06,0.07,1031.0,0.1,0.19,0.1,0.18,302.0,0.18,0.3,0.15,0.15,361.0,0.33,0.43,0.27,0.27,320.0,0.41,0.59,0.37,0.37,656.0,0.56,0.79,0.51,0.51,294.0,0.74,1.0,0.73,0.77,444.0,0.92,4.85,0.83,4.85,109.0,1.21,1.61,1.05,1.31,3039.0,1.53,1.92,1.33,1.51,5649.0,1.9,2.3,1.57,1.71,134.0,2.14,2.37,1.88,1.88,22.0
