date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,5.85,5.85,5.43,5.43,58.0,4.4,5.15,4.4,5.1,17.0,4.7,4.75,4.45,4.75,22.0,3.5,4.4,3.5,4.4,10.0,3.15,3.93,3.15,3.8,89.0,3.35,3.51,3.3,3.3,37.0,2.48,3.4,2.48,3.2,81.0,2.23,3.2,2.23,3.2,146.0,2.0,2.9,2.0,2.9,413.0,1.7,2.4,1.7,2.4,38.0,1.5,2.35,1.48,2.28,220.0,1.4,2.06,1.34,2.06,367.0,1.25,1.76,1.14,1.74,154.0,1.58,1.58,1.41,1.43,15.0,0.98,1.48,0.98,1.31,3125.0,1.02,1.19,1.02,1.19,41.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,9.21,9.21,9.21,9.21,3.0,8.8,8.8,8.0,8.0,2.0,7.21,7.21,6.1,6.1,8.0,7.5,7.5,5.35,5.48,32.0,5.2,5.2,5.2,5.2,5.0,5.43,5.43,4.47,4.47,47.0,5.65,5.75,3.95,3.95,64.0,6.18,6.3,3.6,3.65,197.0,5.75,5.75,3.9,3.9,139.0,5.92,5.92,3.15,3.15,124.0,4.99,5.25,3.05,3.05,83.0,4.25,5.2,2.34,2.37,124.0,4.1,5.1,2.15,2.21,190.0,3.68,4.6,1.94,1.97,611.0,4.14,4.25,1.88,1.88,67.0,3.84,3.85,1.52,1.52,171.0,2.98,3.3,1.44,1.44,232.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,10.4,10.4,10.4,10.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,6.27,6.26,6.27,2.0,6.18,6.18,5.89,5.89,7.0,5.21,6.07,5.21,6.07,43.0,5.31,6.16,5.31,6.16,50.0,5.2,5.73,5.12,5.73,45.0,4.4,4.4,4.35,4.35,3.0,4.05,4.4,3.6,4.33,50.0,3.6,4.1,3.09,4.1,50.0,3.35,4.15,2.89,4.15,84.0,3.25,3.25,2.64,2.72,41.0,2.71,3.08,2.38,3.08,25.0,2.56,3.26,2.1,3.26,87.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,,,,,,9.35,9.35,9.35,9.35,4.0,7.3,7.3,7.3,7.3,6.0,7.17,8.9,7.17,8.9,10.0,8.6,8.6,8.6,8.6,5.0,5.49,7.7,5.49,7.5,171.0,5.7,7.65,5.35,7.01,70.0,4.9,7.13,4.9,6.82,103.0,6.12,6.61,6.12,6.61,11.0,,,,,,4.3,6.0,4.3,5.35,14.0,3.57,4.6,3.57,4.6,153.0,3.2,4.55,3.2,4.55,9.0,2.88,4.9,2.81,4.59,132.0,3.0,4.55,2.72,3.83,126.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,,,,,,5.68,5.68,5.68,5.68,10.0,,,,,,,,,,,6.0,6.15,6.0,6.15,39.0,4.76,6.5,4.76,6.5,63.0,3.15,4.34,3.15,4.2,39.0,2.82,5.3,2.82,4.9,65.0,2.74,2.74,2.54,2.54,13.0,2.27,3.54,2.27,3.54,143.0,2.32,3.6,2.09,3.6,23.0,1.79,3.95,1.69,3.03,457.0,1.61,2.88,1.5,2.88,479.0,1.46,3.4,1.37,2.5,581.0,1.43,2.19,1.11,2.04,578.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,,,,,,,,,,,9.35,9.56,9.35,9.35,14.0,,,,,,,,,,,,,,,,7.23,7.23,6.6,6.6,32.0,6.4,6.4,5.9,5.9,4.0,6.45,6.45,5.56,5.56,24.0,5.39,5.7,5.39,5.7,11.0,5.6,5.6,4.95,5.1,30.0,4.4,4.45,3.93,4.45,54.0,4.85,4.85,3.95,4.0,291.0,4.4,4.45,3.45,3.63,330.0,3.15,4.05,2.83,3.56,110.0,3.55,3.75,2.8,3.05,115.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,,,,,,8.1,8.1,8.1,8.1,17.0,,,,,,,,,,,6.55,6.55,6.55,6.55,2.0,5.4,5.98,5.4,5.95,20.0,5.2,5.2,4.92,5.13,70.0,4.5,5.0,4.5,5.0,30.0,,,,,,3.9,4.26,3.7,4.2,37.0,,,,,,3.15,3.55,2.89,3.5,58.0,2.77,3.0,2.65,3.0,104.0,2.45,2.96,2.22,2.69,190.0,2.07,2.8,1.95,2.48,72.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,8.81,8.81,8.81,8.81,1.0,,,,,,,,,,,5.9,6.15,5.9,6.15,3.0,6.7,6.7,6.7,6.7,2.0,4.45,6.34,4.45,6.34,254.0,4.45,4.45,4.37,4.37,21.0,3.62,5.23,3.62,5.23,35.0,3.09,4.95,3.09,4.95,13.0,2.74,3.19,2.71,3.19,81.0,2.39,4.05,2.39,4.05,151.0,2.1,3.7,2.0,3.7,294.0,1.78,2.95,1.75,2.95,107.0,1.49,2.94,1.46,2.88,706.0,1.35,2.84,1.3,2.79,156.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,,,,,,5.2,5.25,5.2,5.25,12.0,4.9,4.9,4.9,4.9,5.0,4.25,5.17,4.15,5.17,12.0,,,,,,3.35,3.8,3.2,3.8,161.0,2.91,3.4,2.62,3.4,196.0,2.39,2.7,2.23,2.7,159.0,2.05,2.32,1.92,2.32,217.0,1.77,2.24,1.59,2.24,324.0,1.53,1.69,1.43,1.69,37.0,1.24,1.49,1.13,1.49,851.0,1.06,1.5,0.96,1.5,366.0,0.87,1.38,0.78,1.36,754.0,0.78,1.25,0.65,1.25,8713.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,,,,,,5.4,6.22,5.4,6.2,29.0,,,,,,4.0,5.1,3.85,5.1,68.0,4.13,4.13,3.35,4.0,17.0,3.51,3.65,2.9,3.4,1746.0,3.07,3.41,2.6,3.41,127.0,2.6,2.77,2.09,2.61,555.0,2.22,2.86,1.78,2.86,271.0,1.88,2.22,1.49,2.22,602.0,1.6,2.23,1.21,2.2,3266.0,1.29,1.91,1.0,1.01,4436.0,1.1,1.64,0.84,1.64,5400.0,0.92,1.41,0.71,1.41,2812.0,0.81,1.21,0.59,1.21,1565.0
