date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,0.22,0.23,0.22,0.23,275.0,,,,,,,,,,,0.69,0.69,0.61,0.67,694.0,,,,,,1.11,1.11,0.92,1.02,129.0,,,,,,1.35,1.44,1.18,1.27,161.0,,,,,,2.04,2.05,1.62,1.82,224.0,,,,,,2.56,2.64,2.23,2.37,585.0,,,,,,3.15,3.25,2.78,3.05,148.0,,,,,,3.68,3.7,3.35,3.63,115.0,,,,,,4.05,4.35,4.05,4.3,57.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,0.12,0.19,0.12,0.15,136.0,0.23,0.3,0.23,0.3,9213.0,,,,,,0.31,0.47,0.31,0.42,10178.0,,,,,,0.52,0.79,0.49,0.79,13681.0,,,,,,0.91,1.12,0.66,1.12,23.0,,,,,,1.09,1.59,0.98,1.59,102.0,,,,,,1.39,2.14,1.3,2.14,277.0,,,,,,2.09,2.7,1.67,2.7,378.0,,,,,,2.22,3.2,2.19,3.2,665.0,,,,,,2.74,3.7,2.66,3.7,556.0,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,0.18,0.2,0.18,0.2,25.0,0.26,0.28,0.23,0.23,2305.0,,,,,,0.36,0.46,0.36,0.37,1208.0,,,,,,0.57,0.7,0.55,0.55,1721.0,,,,,,0.85,1.0,0.76,0.76,99.0,,,,,,1.17,1.31,1.09,1.1,295.0,,,,,,1.58,1.58,1.4,1.4,44.0,,,,,,1.97,2.13,1.84,1.84,135.0,,,,,,2.47,2.7,2.25,2.41,203.0,,,,,,2.95,3.3,2.8,2.8,431.0,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,0.12,0.12,0.08,0.08,77.0,0.22,0.22,0.22,0.22,236.0,,,,,,0.35,0.35,0.26,0.27,261.0,,,,,,0.56,0.58,0.37,0.37,572.0,,,,,,0.7,0.77,0.54,0.59,56.0,,,,,,1.08,1.08,0.78,1.0,211.0,,,,,,1.39,1.46,1.06,1.2,159.0,,,,,,1.73,1.86,1.39,1.81,88.0,,,,,,2.4,2.4,1.81,1.96,342.0,,,,,,2.95,3.0,2.21,2.4,522.0,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,0.16,0.17,0.12,0.12,14.0,0.26,0.26,0.2,0.2,27.0,,,,,,0.52,0.52,0.35,0.35,18.0,,,,,,0.8,0.8,0.49,0.52,447.0,,,,,,1.1,1.1,0.75,0.78,486.0,,,,,,1.41,1.53,0.99,1.2,158.0,,,,,,1.88,2.0,1.34,1.35,58.0,,,,,,2.5,2.5,1.69,1.86,291.0,,,,,,3.05,3.09,2.15,2.59,514.0,,,,,,3.75,3.75,2.57,2.85,425.0,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,0.09,0.11,0.09,0.11,42.0,0.18,0.18,0.18,0.18,2.0,,,,,,0.27,0.27,0.25,0.27,68.0,,,,,,0.46,0.49,0.38,0.47,455.0,,,,,,0.57,0.71,0.56,0.67,777.0,,,,,,0.74,0.97,0.74,0.97,122.0,,,,,,1.09,1.32,1.05,1.24,161.0,,,,,,1.44,1.71,1.4,1.65,228.0,,,,,,1.7,2.17,1.7,2.06,563.0,,,,,,2.2,2.82,1.7,2.82,866.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,0.1,0.1,0.1,0.1,147.0,0.19,0.19,0.19,0.19,1.0,,,,,,0.3,0.31,0.3,0.31,7.0,,,,,,0.48,0.5,0.45,0.48,115.0,,,,,,0.73,0.74,0.66,0.7,357.0,,,,,,0.95,1.03,0.92,0.92,141.0,,,,,,1.27,1.36,1.22,1.22,38.0,,,,,,1.75,1.8,1.67,1.7,37.0,,,,,,2.11,2.25,2.1,2.1,125.0,,,,,,2.63,2.75,2.6,2.68,381.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,0.14,0.14,0.12,0.12,17.0,0.22,0.22,0.22,0.22,35.0,,,,,,0.32,0.32,0.24,0.24,58.0,,,,,,0.56,0.56,0.38,0.41,220.0,,,,,,0.8,0.8,0.57,0.57,2268.0,,,,,,1.16,1.16,0.87,0.87,225.0,,,,,,1.55,1.55,1.34,1.34,9.0,,,,,,1.98,2.03,1.46,1.46,66.0,,,,,,2.53,2.53,1.85,1.86,1829.0,,,,,,3.1,3.1,2.3,2.3,355.0,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,0.14,0.17,0.14,0.14,169.0,0.28,0.29,0.25,0.25,5150.0,,,,,,0.47,0.48,0.47,0.47,165.0,,,,,,0.73,0.74,0.67,0.7,2838.0,,,,,,1.04,1.08,0.88,0.88,245.0,,,,,,1.42,1.48,1.2,1.2,238.0,,,,,,1.94,1.95,1.81,1.81,312.0,,,,,,2.47,2.48,2.32,2.32,77.0,,,,,,3.05,3.1,2.72,2.72,586.0,,,,,,3.75,3.75,3.2,3.2,148.0,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.18,0.18,0.14,0.14,135.0,0.27,0.3,0.24,0.24,423.0,,,,,,0.51,0.51,0.4,0.4,11.0,,,,,,0.71,0.8,0.69,0.71,1079.0,,,,,,1.03,1.13,0.86,0.86,39.0,,,,,,1.39,1.57,1.39,1.44,32.0,,,,,,1.92,2.05,1.77,1.77,800.0,,,,,,2.4,2.62,2.1,2.1,86.0,,,,,,3.0,3.25,2.73,2.73,184.0,,,,,,3.55,3.83,3.53,3.65,20.0,,,,,
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,0.11,0.12,0.1,0.12,12.0,0.22,0.23,0.22,0.22,56.0,,,,,,0.36,0.41,0.33,0.35,177.0,,,,,,0.59,0.64,0.5,0.5,417.0,,,,,,0.91,0.97,0.78,0.78,266.0,,,,,,1.26,1.35,1.1,1.18,329.0,,,,,,1.61,1.8,1.6,1.6,75.0,,,,,,2.16,2.28,1.95,2.1,44.0,,,,,,2.9,2.9,2.56,2.66,153.0,,,,,,3.43,3.45,3.14,3.25,800.0,,,,,
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,0.15,0.15,0.13,0.15,106.0,0.27,0.28,0.26,0.26,30.0,,,,,,0.48,0.48,0.41,0.41,75.0,,,,,,0.76,0.77,0.71,0.76,72.0,,,,,,1.13,1.16,1.07,1.1,791.0,,,,,,1.6,1.6,1.49,1.55,437.0,,,,,,2.1,2.1,1.95,2.05,76.0,,,,,,2.7,2.7,2.5,2.54,216.0,,,,,,3.35,3.35,3.14,3.2,36.0,,,,,,4.0,4.0,3.65,3.84,62.0,,,,,
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,0.16,0.16,0.14,0.15,125.0,0.3,0.3,0.27,0.28,115.0,,,,,,0.52,0.54,0.46,0.47,3153.0,,,,,,0.85,0.85,0.76,0.76,92.0,,,,,,1.25,1.25,1.1,1.1,3706.0,,,,,,1.66,1.66,1.54,1.56,248.0,,,,,,2.04,2.12,2.04,2.1,103.0,,,,,,2.82,2.83,2.58,2.67,466.0,,,,,,3.38,3.4,3.23,3.23,48.0,,,,,,4.14,4.14,3.95,3.95,67.0,,,,,
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,0.1,0.1,0.1,0.1,4.0,0.21,0.21,0.21,0.21,1.0,,,,,,0.32,0.38,0.31,0.38,616.0,,,,,,0.55,0.62,0.52,0.6,374.0,,,,,,0.84,0.95,0.8,0.9,839.0,,,,,,1.19,1.29,1.12,1.26,144.0,,,,,,1.6,1.77,1.56,1.77,222.0,,,,,,2.08,2.33,2.01,2.3,275.0,,,,,,2.64,2.86,2.54,2.85,381.0,,,,,,3.3,3.5,3.18,3.35,113.0,,,,,
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,0.09,0.16,0.09,0.16,44.0,0.2,0.23,0.19,0.23,79.0,,,,,,0.34,0.41,0.33,0.41,2157.0,,,,,,0.58,0.66,0.55,0.66,122.0,,,,,,0.92,0.98,0.83,0.86,65.0,,,,,,1.33,1.42,1.22,1.42,129.0,,,,,,1.75,1.88,1.7,1.88,1078.0,,,,,,2.3,2.47,2.2,2.47,30.0,,,,,,2.92,3.1,2.71,3.01,189.0,,,,,,3.5,3.76,3.35,3.66,94.0,,,,,
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,0.07,0.08,0.07,0.08,5.0,0.17,0.18,0.17,0.18,21.0,,,,,,0.28,0.38,0.26,0.36,216.0,,,,,,0.47,0.62,0.45,0.62,59.0,,,,,,0.71,0.95,0.71,0.95,652.0,,,,,,1.03,1.35,1.03,1.35,58.0,,,,,,1.65,1.77,1.63,1.66,136.0,,,,,,1.96,2.37,1.93,2.35,56.0,,,,,,2.47,3.0,2.45,2.97,656.0,,,,,,3.09,3.6,3.09,3.6,51.0,,,,,
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,0.04,0.06,0.03,0.03,192.0,0.1,0.11,0.09,0.1,104.0,,,,,,0.21,0.23,0.18,0.22,330.0,,,,,,0.34,0.41,0.33,0.4,1792.0,,,,,,0.56,0.66,0.53,0.62,378.0,,,,,,0.92,0.97,0.81,0.9,153.0,,,,,,1.25,1.29,1.15,1.25,164.0,,,,,,1.72,1.82,1.55,1.68,135.0,,,,,,2.15,2.35,2.02,2.13,1460.0,,,,,,2.76,2.93,2.57,2.79,162.0,,,,,
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,0.04,0.06,0.04,0.06,4.0,0.09,0.11,0.09,0.1,19.0,,,,,,0.2,0.23,0.19,0.23,113.0,,,,,,0.36,0.42,0.32,0.41,1353.0,,,,,,0.58,0.69,0.55,0.69,230.0,,,,,,0.92,1.01,0.81,1.01,482.0,,,,,,1.28,1.42,1.19,1.4,125.0,,,,,,1.75,1.9,1.59,1.88,819.0,,,,,,2.26,2.46,2.12,2.4,361.0,,,,,,2.86,3.06,2.67,2.96,64.0,,,,,
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,0.04,0.16,0.03,0.16,14.0,0.09,0.1,0.06,0.06,826.0,,,,,,0.14,0.17,0.14,0.15,111.0,,,,,,0.27,0.41,0.25,0.41,5209.0,,,,,,0.45,0.5,0.42,0.46,790.0,,,,,,0.7,0.84,0.66,0.84,940.0,,,,,,0.98,1.13,0.97,0.99,633.0,,,,,,1.42,1.5,1.34,1.4,562.0,,,,,,1.85,1.98,1.77,1.8,255.0,,,,,,2.38,2.57,2.29,2.29,59.0,,,,,
