date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,0.07,0.09,0.07,0.09,50.0,0.15,0.16,0.13,0.13,179.0,0.25,0.25,0.18,0.18,8.0,0.35,0.35,0.25,0.28,1029.0,0.4,0.42,0.38,0.42,9.0,0.57,0.57,0.53,0.56,133.0,0.69,0.71,0.67,0.67,8.0,0.98,1.01,0.83,0.89,794.0,1.1,1.11,1.09,1.11,40.0,1.59,1.59,1.23,1.39,441.0,1.82,1.82,1.51,1.63,255.0,2.15,2.17,1.83,1.9,46.0,2.46,2.5,1.97,2.2,211.0,2.79,2.79,2.39,2.54,141.0,3.1,3.2,2.76,2.88,224.0,3.16,3.26,3.1,3.1,53.0,3.5,3.65,3.44,3.5,164.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,0.02,0.02,0.02,0.02,2.0,,,,,,,,,,,0.08,0.08,0.08,0.08,1.0,0.1,0.17,0.09,0.17,2493.0,0.15,0.15,0.15,0.15,1.0,0.2,0.2,0.2,0.2,1.0,0.26,0.36,0.25,0.36,23.0,0.37,0.43,0.37,0.43,61.0,0.44,0.65,0.35,0.64,1424.0,0.54,0.7,0.53,0.7,51.0,0.63,1.11,0.63,1.11,11.0,0.82,1.29,0.82,1.29,265.0,1.06,1.43,0.96,1.32,73.0,1.05,1.79,1.05,1.79,217.0,1.3,1.78,1.3,1.78,27.0,1.52,2.25,1.52,2.25,400.0,1.65,2.65,1.65,2.65,74.0,1.91,2.53,1.86,2.51,37.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,45.0,0.08,0.08,0.08,0.08,19.0,0.1,0.1,0.06,0.09,1543.0,,,,,,,,,,,0.3,0.3,0.25,0.25,6.0,0.41,0.41,0.33,0.33,2.0,0.45,0.54,0.37,0.43,766.0,0.52,0.52,0.52,0.52,1.0,0.67,0.83,0.61,0.61,135.0,,,,,,1.02,1.08,0.92,0.92,8.0,,,,,,1.55,1.55,1.3,1.3,21.0,1.78,1.78,1.78,1.78,5.0,1.97,1.97,1.67,1.67,11.0,2.26,2.38,2.25,2.38,15.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,51.0,0.11,0.11,0.11,0.11,2.0,0.15,0.15,0.14,0.14,12.0,,,,,,0.23,0.23,0.15,0.15,82.0,0.27,0.27,0.19,0.19,61.0,0.35,0.42,0.24,0.24,988.0,,,,,,0.56,0.56,0.41,0.42,13.0,0.77,0.77,0.56,0.56,521.0,0.92,0.92,0.62,0.62,61.0,1.02,1.02,0.73,0.73,400.0,1.4,1.4,0.85,0.98,65.0,1.38,1.38,1.0,1.0,38.0,1.78,1.78,1.78,1.78,1.0,1.85,1.96,1.42,1.5,16.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,48.0,0.14,0.14,0.14,0.14,3.0,0.26,0.26,0.24,0.24,11.0,0.31,0.31,0.25,0.25,8.0,0.3,0.3,0.3,0.3,7.0,0.61,0.61,0.43,0.44,37.0,0.76,0.76,0.59,0.59,13.0,0.86,0.86,0.51,0.58,44.0,1.04,1.1,0.64,0.78,248.0,1.33,1.44,0.95,0.99,89.0,1.38,1.49,1.38,1.49,15.0,1.9,1.9,1.09,1.35,90.0,2.21,2.21,1.42,1.42,610.0,2.6,2.6,2.26,2.26,26.0,2.6,2.6,2.08,2.08,3.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,0.02,0.03,0.02,0.03,6.0,,,,,,0.04,0.04,0.03,0.04,113.0,,,,,,0.06,0.06,0.05,0.05,11.0,0.11,0.11,0.11,0.11,1.0,0.11,0.15,0.11,0.15,86.0,0.18,0.18,0.18,0.18,1.0,0.19,0.29,0.19,0.23,133.0,0.29,0.32,0.29,0.32,12.0,0.32,0.52,0.32,0.35,112.0,0.42,0.6,0.42,0.52,136.0,0.59,0.69,0.59,0.65,84.0,0.69,0.82,0.67,0.75,24.0,0.94,1.15,0.85,0.88,131.0,0.95,1.18,0.95,1.13,437.0,1.12,1.61,1.12,1.61,77.0,1.49,1.49,1.49,1.49,10.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,0.02,0.02,0.02,0.02,5.0,,,,,,,,,,,0.05,0.05,0.05,0.05,1.0,0.07,0.07,0.07,0.07,10.0,,,,,,,,,,,0.21,0.21,0.2,0.2,24.0,0.26,0.28,0.24,0.25,27.0,0.37,0.37,0.3,0.3,4.0,0.46,0.49,0.42,0.42,33.0,0.51,0.57,0.51,0.51,126.0,0.73,0.73,0.73,0.73,3.0,0.84,0.93,0.77,0.79,38.0,1.04,1.15,1.0,1.01,70.0,1.24,1.27,1.19,1.22,14.0,1.44,1.58,1.35,1.39,60.0,1.64,1.64,1.64,1.64,25.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,0.02,0.19,0.02,0.19,2.0,,,,,,0.03,0.03,0.03,0.03,10.0,0.05,0.05,0.05,0.05,7.0,,,,,,,,,,,0.31,0.31,0.31,0.31,1.0,0.22,0.22,0.2,0.2,24.0,0.32,0.32,0.16,0.16,45.0,0.4,0.4,0.36,0.38,6.0,0.57,0.57,0.28,0.3,70.0,0.7,0.7,0.38,0.39,149.0,0.9,0.9,0.52,0.52,67.0,0.96,0.98,0.63,0.65,12.0,1.29,1.29,0.82,0.82,111.0,1.48,1.48,1.0,1.0,3.0,1.9,1.9,1.13,1.13,20.0,1.94,1.94,1.93,1.94,16.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,0.02,0.02,0.02,0.02,1.0,0.01,0.03,0.01,0.03,19.0,0.04,0.04,0.04,0.04,10.0,0.06,0.06,0.06,0.06,3.0,0.07,0.07,0.07,0.07,249.0,,,,,,0.15,0.18,0.15,0.18,22.0,,,,,,,,,,,0.48,0.51,0.43,0.44,26.0,0.66,0.66,0.63,0.64,13.0,0.83,0.87,0.55,0.55,163.0,1.02,1.02,0.92,0.92,11.0,1.27,1.29,0.89,0.89,144.0,1.52,1.54,1.44,1.44,26.0,1.76,1.8,1.32,1.32,33.0,2.05,2.16,1.73,1.73,60.0,2.35,2.52,2.31,2.31,27.0,2.69,2.8,2.65,2.65,38.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.01,0.01,0.01,0.01,1.0,,,,,,,,,,,,,,,,0.12,0.12,0.12,0.12,1.0,,,,,,,,,,,0.17,0.17,0.15,0.16,1732.0,0.2,0.23,0.12,0.12,216.0,0.3,0.3,0.3,0.3,1.0,0.38,0.52,0.38,0.47,26.0,0.53,0.67,0.51,0.51,22.0,0.69,0.9,0.67,0.67,56.0,1.09,1.09,0.95,0.95,12.0,1.12,4.93,1.07,4.93,68.0,1.37,1.63,1.3,1.3,17.0,1.62,1.86,1.46,1.46,109.0,1.94,2.18,1.94,2.03,16.0,2.2,2.55,2.17,2.27,44.0,2.65,2.9,2.48,2.48,42.0
