date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,6.6,6.6,6.6,6.6,7.0,5.4,5.45,5.4,5.45,13.0,,,,,,4.78,4.78,4.65,4.7,30.0,4.24,4.4,4.24,4.4,10.0,3.05,4.19,3.05,4.06,196.0,2.9,3.35,2.51,3.25,421.0,2.22,3.4,2.14,2.98,678.0,1.9,2.85,1.83,2.75,443.0,1.75,2.65,1.55,2.43,2382.0,1.39,2.15,1.32,2.14,387.0,1.17,2.05,1.17,1.67,1769.0,1.12,1.98,0.99,1.98,1211.0,1.02,1.65,0.83,1.5,6988.0,0.88,1.3,0.72,1.3,1230.0,0.68,1.27,0.61,1.14,8849.0,0.59,1.0,0.58,0.89,944.0
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,10.35,10.35,10.35,10.35,1.0,,,,,,10.0,10.0,8.81,8.81,3.0,7.25,7.25,7.25,7.25,30.0,7.65,7.65,7.22,7.25,31.0,6.78,7.12,5.55,5.55,78.0,6.56,6.56,6.25,6.28,30.0,7.2,7.93,4.15,4.15,251.0,7.07,7.46,3.92,3.92,73.0,6.3,7.0,3.36,3.5,896.0,6.25,6.25,3.1,3.1,134.0,5.55,6.05,2.61,2.8,1681.0,4.65,4.7,2.31,2.38,239.0,3.9,5.3,2.0,2.17,7956.0,4.55,4.91,1.82,1.82,500.0,3.5,4.55,1.5,1.66,10849.0,3.98,3.98,1.25,1.25,619.0,2.9,3.83,1.14,1.14,7508.0,2.74,3.3,1.06,1.08,1006.0
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,10.05,10.05,10.05,10.05,1.0,9.95,9.95,9.95,9.95,7.0,9.5,9.5,9.5,9.5,25.0,7.95,7.95,7.95,7.95,10.0,,,,,,,,,,,,,,,,5.8,7.32,5.8,7.32,11.0,5.78,6.85,5.78,6.85,22.0,5.1,6.55,4.8,5.92,99.0,4.75,5.7,4.69,5.7,68.0,4.54,5.6,3.9,4.95,165.0,3.5,5.01,3.5,5.01,19.0,3.95,4.6,3.14,4.27,64.0,3.1,3.85,2.85,3.85,44.0,3.2,4.0,2.46,3.15,1229.0,2.94,3.53,2.23,3.53,225.0,2.44,3.3,1.87,2.95,337.0,2.24,2.86,1.65,2.59,387.0
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.55,9.55,9.55,9.55,10.0,9.22,9.22,9.22,9.22,1.0,6.4,9.2,6.4,9.2,101.0,8.4,8.4,8.4,8.4,42.0,5.72,8.1,5.72,7.38,205.0,4.92,7.35,4.92,7.24,201.0,5.4,7.2,4.85,6.45,343.0,4.06,6.67,4.06,6.2,44.0,3.6,6.31,3.6,5.5,169.0,4.0,5.89,3.9,5.36,84.0,2.98,5.6,2.95,4.6,511.0,2.9,4.9,2.86,4.9,169.0,2.44,4.65,2.44,3.77,619.0,2.07,4.15,2.07,3.6,235.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,9.26,9.55,9.26,9.55,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,7.4,4.25,6.0,57.0,3.75,3.75,3.75,3.75,9.0,3.43,6.22,3.43,5.81,154.0,2.87,6.0,2.87,4.75,83.0,2.72,5.45,2.46,4.65,2509.0,2.62,4.9,2.08,3.78,307.0,1.83,4.5,1.77,4.0,4439.0,1.4,4.17,1.4,4.17,171.0,1.2,3.77,1.2,2.65,5464.0,1.0,3.3,1.0,2.64,671.0,0.86,3.11,0.85,2.4,2421.0,0.8,2.57,0.74,1.64,941.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,12.55,12.55,11.3,11.3,30.0,,,,,,,,,,,9.6,9.78,9.05,9.05,40.0,,,,,,8.4,8.4,8.4,8.4,1.0,7.95,8.7,7.95,8.7,11.0,8.4,8.4,7.6,7.6,13.0,8.05,8.05,6.8,6.8,46.0,7.35,7.5,6.1,6.8,213.0,6.75,7.0,5.59,6.1,610.0,6.32,6.55,5.0,5.85,169.0,5.8,5.9,4.85,4.85,117.0,5.42,5.6,4.2,4.4,178.0,4.9,5.51,3.8,4.55,188.0,4.55,4.55,3.24,3.7,416.0,3.9,4.14,3.13,3.4,178.0,3.6,3.8,2.45,3.1,1013.0,3.15,3.4,2.11,2.63,428.0
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,10.48,11.05,10.48,11.05,2.0,,,,,,,,,,,8.44,8.44,8.37,8.37,2.0,,,,,,7.37,7.37,7.3,7.35,4.0,6.92,7.5,6.85,7.5,13.0,6.75,6.99,6.75,6.9,25.0,6.15,6.55,5.85,6.4,42.0,5.32,6.18,5.3,6.18,268.0,5.15,5.5,4.8,5.5,107.0,4.3,5.24,4.3,5.24,49.0,4.2,4.3,4.1,4.3,30.0,3.35,4.26,3.35,4.0,198.0,3.24,3.55,2.91,3.55,545.0,2.76,3.45,2.4,3.16,111.0,2.34,2.98,2.0,2.98,498.0,1.96,2.66,1.66,2.52,426.0,1.59,1.95,1.35,1.9,193.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,9.9,9.9,9.9,9.9,5.0,,,,,,8.8,8.8,8.8,8.8,15.0,7.8,9.3,7.8,9.3,46.0,,,,,,6.8,6.8,6.8,6.8,10.0,6.3,6.4,6.3,6.4,55.0,5.95,5.95,5.8,5.86,13.0,6.7,6.7,6.7,6.7,2.0,4.51,6.41,4.51,6.41,30.0,3.95,4.65,3.95,4.65,56.0,3.65,5.56,3.6,5.56,59.0,2.91,4.65,2.86,4.65,75.0,2.5,4.6,2.44,4.55,153.0,1.99,3.95,1.98,3.95,173.0,1.57,3.59,1.45,3.55,379.0,1.23,3.1,1.21,3.1,332.0,0.9,2.7,0.85,2.69,1949.0,0.7,2.35,0.61,2.0,5881.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.1,4.8,5.04,111.0,5.62,5.62,5.62,5.62,1.0,4.2,4.25,4.11,4.2,5.0,3.6,3.6,3.5,3.5,11.0,3.15,3.9,3.14,3.9,47.0,2.87,3.3,2.53,3.3,242.0,2.16,2.78,2.08,2.78,474.0,1.65,2.51,1.5,2.51,239.0,1.23,1.83,1.1,1.83,1012.0,0.87,1.5,0.75,1.5,643.0,0.55,1.21,0.44,1.21,4296.0,0.33,0.91,0.3,0.91,8533.0,0.22,0.69,0.18,0.69,11707.0,0.15,0.46,0.13,0.46,5504.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,8.21,8.21,8.21,8.21,5.0,7.25,7.25,7.25,7.25,1.0,7.4,7.4,7.4,7.4,12.0,,,,,,6.05,6.05,6.05,6.05,2.0,5.47,5.47,5.47,5.47,20.0,4.55,4.6,4.55,4.55,8.0,4.45,4.45,4.08,4.18,48.0,3.95,3.95,3.49,3.95,156.0,3.48,3.8,2.86,3.8,126.0,3.0,3.34,2.25,3.34,514.0,2.52,2.8,1.9,2.56,2178.0,1.89,2.26,1.36,2.08,456.0,1.49,2.23,0.85,2.18,573.0,0.96,1.42,0.38,1.42,1863.0,0.55,1.28,0.09,1.28,10401.0,0.05,0.9,0.02,0.87,17597.0,0.01,0.62,0.01,0.59,15113.0,0.02,0.4,0.01,0.35,6873.0
