date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,20.5_close,20.5_high,20.5_low,20.5_open,20.5_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,21.5_close,21.5_high,21.5_low,21.5_open,21.5_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.94,1.81,1.82,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,0.38,0.38,0.38,0.38,1.0,,,,,,0.61,0.61,0.58,0.6,9.0,,,,,,0.91,0.91,0.87,0.88,16.0,,,,,,1.3,1.3,1.22,1.22,15.0,,,,,,1.71,1.71,1.58,1.58,2.0,,,,,,2.2,2.2,2.09,2.1,26.0,,,,,,2.75,2.75,2.75,2.75,1.0,,,,,,3.34,3.34,3.28,3.28,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,0.43,0.43,0.35,0.35,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.38,1.38,300.0,,,,,,1.81,1.81,1.76,1.76,46.0,,,,,,2.34,2.34,2.22,2.22,6.0,,,,,,2.91,2.95,2.91,2.91,154.0,,,,,,3.5,3.5,3.5,3.5,1.0,,,,,,3.9,3.92,3.9,3.92,20.0,,,,,,,,,,,,,,,
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,0.31,0.31,0.3,0.3,31.0,,,,,,,,,,,,,,,,0.72,0.78,0.72,0.78,6.0,,,,,,,,,,,,,,,,1.37,1.37,1.37,1.37,3.0,,,,,,1.85,1.85,1.85,1.85,20.0,,,,,,2.32,2.43,2.32,2.43,22.0,,,,,,2.75,2.87,2.75,2.87,33.0,,,,,,3.35,3.46,3.35,3.46,74.0,,,,,,4.1,4.1,3.95,4.05,39.0,,,,,
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,,,,,,,,,,,,,,,,,,,,,0.88,0.88,0.88,0.88,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.98,1.94,1.94,12.0,,,,,,2.37,2.55,2.37,2.49,11.0,,,,,,3.06,3.06,3.06,3.06,5.0,,,,,,3.65,3.65,3.65,3.65,5.0,,,,,,4.32,4.32,4.32,4.32,1.0,,,,,
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,,,,,,,,,,,0.51,0.51,0.51,0.51,2.0,,,,,,0.72,0.79,0.72,0.75,61.0,,,,,,0.9,1.02,0.9,1.02,3.0,,,,,,,,,,,,,,,,1.81,1.94,1.81,1.89,303.0,,,,,,2.51,2.56,2.5,2.56,7.0,,,,,,2.92,2.92,2.92,2.92,1.0,,,,,,3.28,3.53,3.28,3.53,9.0,,,,,,,,,,,,,,,
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,,,,,,,,,,,0.36,0.39,0.36,0.39,10.0,,,,,,0.58,0.58,0.58,0.58,3.0,,,,,,,,,,,,,,,,1.15,1.17,1.11,1.17,13.0,,,,,,1.5,1.54,1.42,1.5,214.0,,,,,,,,,,,,,,,,2.41,2.41,2.3,2.41,44.0,,,,,,3.0,3.0,2.79,2.92,32.0,,,,,,3.4,3.6,3.4,3.6,26.0,,,,,
